sample_id	source	group	p_DM2	p_DM2_oof	DM_call	score_basis	n_panel_genes	p_DM2_prev_v4	abs_delta_prev_v4
TCGA-EL-A3T8-01A	TCGA-THCA	TCGA_DM2	0.8657990518999246	0.890328248802903	DM2	centered_panel8_log2	8		
TCGA-EM-A3O8-01A	TCGA-THCA	TCGA_DM1	0.13916703492848614	0.1507427628138092	DM1	centered_panel8_log2	8		
TCGA-L6-A4EP-01A	TCGA-THCA	TCGA_DM2	0.9950898942525823	0.9932932678692893	DM2	centered_panel8_log2	8		
TCGA-J8-A3YG-01A	TCGA-THCA	TCGA_DM2	0.9732618799263538	0.9730384729888492	DM2	centered_panel8_log2	8		
TCGA-DE-A69J-01A	TCGA-THCA	TCGA_DM2	0.9979989623664347	0.9977725149691667	DM2	centered_panel8_log2	8		
TCGA-E8-A419-01A	TCGA-THCA	TCGA_DM2	0.9902019541971899	0.992880780280984	DM2	centered_panel8_log2	8		
TCGA-DJ-A2Q2-01A	TCGA-THCA	TCGA_DM1	0.8838094105830999	0.8754712146243505	DM2	centered_panel8_log2	8		
TCGA-BJ-A0ZG-01A	TCGA-THCA	TCGA_DM1	0.0033211529100317222	0.004800907611892261	DM1	centered_panel8_log2	8		
TCGA-EM-A2OW-01A	TCGA-THCA	TCGA_DM1	0.042820078277262245	0.0447421744747851	DM1	centered_panel8_log2	8		
TCGA-BJ-A3F0-01A	TCGA-THCA	TCGA_DM1	0.04083051245587231	0.03989191357140441	DM1	centered_panel8_log2	8		
TCGA-EL-A3CY-01A	TCGA-THCA	TCGA_DM2	0.7818218834012451	0.7687898602317158	DM2	centered_panel8_log2	8		
TCGA-EM-A3AQ-01A	TCGA-THCA	TCGA_DM2	0.9875050921637312	0.9956029406133512	DM2	centered_panel8_log2	8		
TCGA-J8-A4HW-01A	TCGA-THCA	TCGA_DM2	0.5599643231085232	0.48654910872615664	DM1	centered_panel8_log2	8		
