sample	mapk	panel	ht	patient	sample_id	sub_cluster	axis_class	ht_class
TCGA-EM-A3AR-01A	-0.41172407451098697	1.0186069451896693	-0.37903544760331875	TCGA-EM-A3AR	TCGA-EM-A3AR-01A	sub_B	mapk_low	ht_high
TCGA-DJ-A3US-01A	0.4686409122255373	0.7849521908775663	1.1715759663269383	TCGA-DJ-A3US	TCGA-DJ-A3US-01A	sub_A	mapk_high	ht_high
TCGA-BJ-A2N8-01A	0.03368913751503482	0.35539916068793603	-0.48041098689051737	TCGA-BJ-A2N8	TCGA-BJ-A2N8-01A	sub_A	mapk_high	ht_high
TCGA-BJ-A2N8-11A	-1.2869166634201323	1.217030349818632	-0.8904986773946305	TCGA-BJ-A2N8	TCGA-BJ-A2N8-01A	sub_A	mapk_low	ht_low
TCGA-DE-A2OL-01A	-0.16460656531832005	1.0656433976552229	-1.28360390486692	TCGA-DE-A2OL	TCGA-DE-A2OL-01A	sub_A	mapk_high	ht_low
TCGA-DE-A4M9-01A	-0.7214174954278482	0.8144180713060484	-0.9264718653401314	TCGA-DE-A4M9	TCGA-DE-A4M9-01A	sub_B	mapk_low	ht_low
TCGA-ET-A39N-01A	-0.41271827461955424	0.20656425642840148	-0.24417709144414868	TCGA-ET-A39N	TCGA-ET-A39N-01A	sub_B	mapk_low	ht_high
TCGA-E8-A416-01A	-0.7859977831545615	0.9064112402170698	0.014613138789124114	TCGA-E8-A416	TCGA-E8-A416-01A	sub_B	mapk_low	ht_high
TCGA-EL-A3T2-11A	-0.987980606558012	0.52679213263139	-0.995532776906409	TCGA-EL-A3T2	TCGA-EL-A3T2-01A	sub_A	mapk_low	ht_low
TCGA-EL-A3T2-01A	0.08596850101830758	0.5332023338782712	-0.9731621405489711	TCGA-EL-A3T2	TCGA-EL-A3T2-01A	sub_A	mapk_high	ht_low
TCGA-DJ-A2Q0-01A	-1.2617628083707615	-1.281043891444516	-0.8216692184527213	TCGA-DJ-A2Q0	TCGA-DJ-A2Q0-01A	sub_B	mapk_low	ht_low
TCGA-EL-A3H1-11A	-0.8041812835924841	1.0718210275623035	0.3832975888095459	TCGA-EL-A3H1	TCGA-EL-A3H1-01A	sub_A	mapk_low	ht_high
TCGA-EL-A3ZR-11A	-0.8758618738701762	0.7461478056126407	-0.19374121623363993	TCGA-EL-A3ZR	TCGA-EL-A3ZR-01A	sub_A	mapk_low	ht_high
TCGA-EM-A3O8-01A	0.020557043059708444	0.6679119432894578	-0.9560441350222013	TCGA-EM-A3O8	TCGA-EM-A3O8-01A	sub_A	mapk_high	ht_low
TCGA-DJ-A2Q2-01A	-0.2461701017013399	1.0798761690420742	0.014551781394736155	TCGA-DJ-A2Q2	TCGA-DJ-A2Q2-01A	sub_B	mapk_high	ht_high
TCGA-BJ-A0ZG-01A	-1.161681447853047	0.8661768379762878	-0.33241222592934844	TCGA-BJ-A0ZG	TCGA-BJ-A0ZG-01A	sub_B	mapk_low	ht_high
TCGA-EM-A2OW-01A	-0.8504850622715365	0.4685362230347468	-0.34864151628459616	TCGA-EM-A2OW	TCGA-EM-A2OW-01A	sub_B	mapk_low	ht_high
TCGA-BJ-A3F0-01A	-0.2519792767354065	1.2989234389557929	-0.8367392373423765	TCGA-BJ-A3F0	TCGA-BJ-A3F0-01A	sub_B	mapk_high	ht_low
TCGA-EL-A3H2-11A	-1.5022768593076101	1.2207090990792346	-0.9512015138428771	TCGA-EL-A3H2	TCGA-EL-A3H2-01A	sub_B	mapk_low	ht_low
TCGA-BJ-A291-01A	-1.152680943523782	0.3471791874753119	-0.5834971098825693	TCGA-BJ-A291	TCGA-BJ-A291-01A	sub_B	mapk_low	ht_high
