sample_id	stage	subset	adjustment	rho_linear_resid_spearman	p_linear_resid_spearman	n_linear	rho_rank_partial_spearman	p_rank_partial_spearman	n_rank	n_MAPK_genes	n_panel_genes
GSM7980868_LPTC-1	LPTC	all_spots	raw	0.23735033305776235	6.574534593306965e-21	1520	0.23735033305776237	6.574534593306729e-21	1520	9	8
GSM7980868_LPTC-1	LPTC	all_spots	epithelial	0.18038266889895738	1.3902590740009107e-12	1520	0.19419942056202105	2.2082117188030503e-14	1520	9	8
GSM7980868_LPTC-1	LPTC	all_spots	qc	0.09489989664806359	0.00021122398578936184	1520	0.09442063606549043	0.00022744529922858814	1520	9	8
GSM7980868_LPTC-1	LPTC	all_spots	microenv	0.219519690618032	4.8341566937689285e-18	1520	0.20557543684081514	5.734898968152223e-16	1520	9	8
GSM7980868_LPTC-1	LPTC	all_spots	spatial	0.19545167420500914	1.4933196667361282e-14	1520	0.2450436555689235	3.2018275712645936e-22	1520	9	8
GSM7980868_LPTC-1	LPTC	all_spots	detection	0.2480405983029241	9.585034265113143e-23	1520	0.2242899780228293	8.733987855193015e-19	1520	9	8
GSM7980868_LPTC-1	LPTC	all_spots	epithelial_qc	0.09537443874185231	0.00019623678353155382	1520	0.09116629254918168	0.0003725455170395765	1520	9	8
GSM7980868_LPTC-1	LPTC	all_spots	epithelial_qc_microenv	0.054464707292185416	0.033732542621294555	1520	0.08731321920734281	0.0006548760927797979	1520	9	8
GSM7980868_LPTC-1	LPTC	all_spots	epithelial_qc_microenv_spatial	0.05059260782501887	0.0485978224595625	1520	0.07092937828581393	0.005665355939807246	1520	9	8
GSM7980868_LPTC-1	LPTC	all_spots	epithelial_qc_microenv_spatial_detection	-0.02641455915304308	0.3034038145405845	1520	0.04830275969085886	0.05973588453972225	1520	9	8
GSM7980868_LPTC-1	LPTC	epithelial_top50	raw	0.10444729798756225	0.003944561312990439	760	0.12020452864193913	0.0008988785104122303	760	9	8
GSM7980868_LPTC-1	LPTC	epithelial_top50	epithelial	0.10967831351945954	0.0024635384062947014	760	0.12998133704539833	0.0003272793886855887	760	9	8
GSM7980868_LPTC-1	LPTC	epithelial_top50	qc	0.026504929981927914	0.46562495692571937	760	0.02428783119998948	0.5037724799488514	760	9	8
GSM7980868_LPTC-1	LPTC	epithelial_top50	microenv	0.1322797158217853	0.0002554050100612969	760	0.11910780963137663	0.001002268829518466	760	9	8
GSM7980868_LPTC-1	LPTC	epithelial_top50	spatial	0.15713596056123805	1.3498005184986736e-05	760	0.14710772066352418	4.6817281002059995e-05	760	9	8
GSM7980868_LPTC-1	LPTC	epithelial_top50	detection	0.18032194660172854	5.614532675189374e-07	760	0.15641195727934426	1.4805001600325165e-05	760	9	8
GSM7980868_LPTC-1	LPTC	epithelial_top50	epithelial_qc	0.028796567205020492	0.4279384812129723	760	0.019664340663663456	0.5883225313921597	760	9	8
