tcga_sample_id	B cell	Endothelial cell	Epithelial cell	Fibroblast	Malignant cell	Myeloid cell	NK cell	T cell
TCGA-ET-A3DW-11A	0.0	0.21566357062072303	0.7295485402619396	0.05478788911733733	0.0	0.0	0.0	0.0
TCGA-EL-A4JZ-01A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TCGA-ET-A2N4-01A	0.0	0.7405251129197468	0.2594748870802532	0.0	0.0	0.0	0.0	0.0
TCGA-ET-A3DS-01A	0.0	0.22561106281492588	0.7743889371850741	0.0	0.0	0.0	0.0	0.0
TCGA-EL-A3D4-01A	0.0	0.45517890321691257	0.3983671596680861	0.14645393711500115	0.0	0.0	0.0	0.0
TCGA-DJ-A2PZ-01A	0.0	0.4020657641614078	0.5676659683288616	0.03026826750973058	0.0	0.0	0.0	0.0
TCGA-FY-A3RA-01A	0.0	0.5370916386772366	0.4629083613227633	0.0	0.0	0.0	0.0	0.0
TCGA-EM-A4FV-01A	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
TCGA-EM-A3AN-01A	0.0	0.5932189241853787	0.4067810758146213	0.0	0.0	0.0	0.0	0.0
TCGA-DJ-A3UN-01A	0.0	0.6590255186310024	0.34097448136899766	0.0	0.0	0.0	0.0	0.0
TCGA-J8-A42S-01A	0.0	0.4976794532707424	0.3659099969170059	0.13641054981225162	0.0	0.0	0.0	0.0
TCGA-EL-A4JX-01A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TCGA-DE-A0Y2-01A	0.0	0.6244672553248503	0.37553274467514963	0.0	0.0	0.0	0.0	0.0
TCGA-EL-A4JV-01A	0.0	0.4477536575164807	0.5522463424835193	0.0	0.0	0.0	0.0	0.0
TCGA-KS-A4I1-01A	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
TCGA-CE-A27D-01A	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
TCGA-BJ-A0Z0-01A	0.0	0.37531186557514074	0.6246881344248593	0.0	0.0	0.0	0.0	0.0
TCGA-EL-A3CU-01A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TCGA-EM-A1CV-11A	0.0	0.18535030498327704	0.6947680422597126	0.11988165275701039	0.0	0.0	0.0	0.0
TCGA-EL-A3MY-11A	0.0	0.2406135498049991	0.5735690021038921	0.18581744809110895	0.0	0.0	0.0	0.0
TCGA-EM-A2CK-01A	0.0	0.44595117385094574	0.5540488261490543	0.0	0.0	0.0	0.0	0.0
TCGA-FK-A4UB-01A	0.0	0.6213094644345164	0.37869053556548365	0.0	0.0	0.0	0.0	0.0
TCGA-ET-A2N5-01A	0.0	0.4214535939855671	0.578546406014433	0.0	0.0	0.0	0.0	0.0
TCGA-ET-A2N5-11B	0.0	0.2153918187653526	0.6694578951613367	0.11515028607331067	0.0	0.0	0.0	0.0
TCGA-EM-A2P0-01A	0.0	0.5186420970461626	0.48135790295383746	0.0	0.0	0.0	0.0	0.0
TCGA-H2-A421-01A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TCGA-CE-A483-01A	0.0	0.5966711060020933	0.40332889399790667	0.0	0.0	0.0	0.0	0.0
TCGA-FY-A76V-01A	0.0	0.5947316641217097	0.40526833587829014	0.0	0.0	0.0	0.0	0.0
TCGA-EL-A3GX-01A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TCGA-DO-A2HM-01B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TCGA-IM-A3U2-01A	0.0	0.7966081311950393	0.0	0.20339186880496077	0.0	0.0	0.0	0.0
TCGA-EL-A3T0-11A	0.0	0.18546457349195722	0.8145354265080428	0.0	0.0	0.0	0.0	0.0
TCGA-EL-A3T0-01A	0.0	0.587395690562118	0.4126043094378819	0.0	0.0	0.0	0.0	0.0
TCGA-E3-A3E1-01A	0.0	0.38337689884101933	0.6166231011589808	0.0	0.0	0.0	0.0	0.0
TCGA-ET-A3BX-01A	0.0	0.44865093343517226	0.5513490665648276	0.0	0.0	0.0	0.0	0.0
TCGA-BJ-A0ZJ-01A	0.0	0.06958729100608002	0.9304127089939199	0.0	0.0	0.0	0.0	0.0
