sample	lineage	DM1_like	HT13_score
TCGA-OR-A5LN-01	adrenocortical cancer	1.5409887330250909	0.9844877821394942
TCGA-OR-A5LO-01	adrenocortical cancer	1.4756063478898611	-0.8768777472649444
TCGA-OR-A5LP-01	adrenocortical cancer	1.5627763833593118	0.543313830663744
TCGA-OR-A5LR-01	adrenocortical cancer	1.4812943851490437	-0.24469575538621796
TCGA-OR-A5LS-01	adrenocortical cancer	1.507512661726596	-0.6502829434143022
TCGA-OR-A5LT-01	adrenocortical cancer	1.5265132160362085	-0.19100442913759857
TCGA-OU-A5PI-01	adrenocortical cancer	1.5315305803186794	-0.38114677325020885
TCGA-P6-A5OF-01	adrenocortical cancer	1.5425669847410215	-0.3535774418450768
TCGA-P6-A5OG-01	adrenocortical cancer	1.5661658449715938	0.5599159474236657
TCGA-PA-A5YG-01	adrenocortical cancer	1.5640729479430902	0.6101812148787026
TCGA-PK-A5H8-01	adrenocortical cancer	1.519246175499582	-0.03468594120666117
TCGA-PK-A5H9-01	adrenocortical cancer	1.5914994440168198	0.28994573450692246
TCGA-PK-A5HA-01	adrenocortical cancer	1.5841540112870045	0.546960188771658
TCGA-PK-A5HB-01	adrenocortical cancer	1.4612769824481586	-0.694672073929618
TCGA-2F-A9KO-01	bladder urothelial carcinoma	1.5733508685758206	1.0253024098077246
TCGA-2F-A9KP-01	bladder urothelial carcinoma	1.6900954177912246	-0.8139960065958664
TCGA-2F-A9KQ-01	bladder urothelial carcinoma	1.6263520441099315	-1.4187767296832783
TCGA-2F-A9KR-01	bladder urothelial carcinoma	1.6197342472531109	-0.302363601171795
TCGA-2F-A9KT-01	bladder urothelial carcinoma	1.6050912802741992	-0.9244779623751088
TCGA-2F-A9KW-01	bladder urothelial carcinoma	1.713461074552704	-0.4814887891623928
TCGA-4Z-AA7M-01	bladder urothelial carcinoma	1.5438477743035008	-0.7684351094545084
TCGA-4Z-AA7N-01	bladder urothelial carcinoma	1.7674350539051695	2.0727081963434575
TCGA-4Z-AA7O-01	bladder urothelial carcinoma	1.5865532352732352	0.11765700692525101
TCGA-4Z-AA7Q-01	bladder urothelial carcinoma	1.3636803803958897	0.9695384034891499
TCGA-4Z-AA7R-01	bladder urothelial carcinoma	1.6540323069789409	-0.8378857741207516
TCGA-4Z-AA7S-01	bladder urothelial carcinoma	1.6707045120745052	-0.5640310292142491
TCGA-4Z-AA7W-01	bladder urothelial carcinoma	1.6149082604986622	1.4587146494284187
TCGA-4Z-AA7Y-01	bladder urothelial carcinoma	1.5849036046632836	-0.8872280589678089
TCGA-4Z-AA80-01	bladder urothelial carcinoma	1.6187712872337006	-0.5044447360578725
TCGA-4Z-AA81-01	bladder urothelial carcinoma	1.6689156833973984	0.3294607939571574
TCGA-4Z-AA82-01	bladder urothelial carcinoma	1.565340274633146	-0.008590752840498194
TCGA-4Z-AA83-01	bladder urothelial carcinoma	1.4069099159576597	-0.19538981025043525
TCGA-4Z-AA84-01	bladder urothelial carcinoma	1.613596420576419	-0.8418417668090196
TCGA-4Z-AA86-01	bladder urothelial carcinoma	1.7334044890048812	0.9562809176979243
TCGA-4Z-AA87-01	bladder urothelial carcinoma	1.578141377572595	-0.012750300930454098
TCGA-4Z-AA89-01	bladder urothelial carcinoma	1.5461554708461198	-0.7364044240085613
TCGA-5N-A9KI-01	bladder urothelial carcinoma	1.5538236714222915	0.2200295489594759
TCGA-5N-A9KM-01	bladder urothelial carcinoma	1.4714826773978578	0.29515617866127325
TCGA-BL-A0C8-01	bladder urothelial carcinoma	1.5808694427471948	-0.9954062757733635
TCGA-BL-A13I-01	bladder urothelial carcinoma	1.6151194809738216	0.6010607359765473
TCGA-BL-A13J-01	bladder urothelial carcinoma	1.7044390073654552	-0.36905780925708576
TCGA-BL-A13J-11	bladder urothelial carcinoma	1.4598609089172152	-0.7305040383210787
TCGA-BL-A3JM-01	bladder urothelial carcinoma	1.622464590421484	-0.2730520049309392
TCGA-BL-A5ZZ-01	bladder urothelial carcinoma	1.7965452928013137	-0.18844023543291433
TCGA-BT-A0S7-01	bladder urothelial carcinoma	1.561528580374549	-0.13484278279819978
TCGA-BT-A0YX-01	bladder urothelial carcinoma	1.5236891001976884	0.3737966009554525
TCGA-BT-A20J-01	bladder urothelial carcinoma	1.4695479180561573	1.1637206251228278
TCGA-BT-A20N-01	bladder urothelial carcinoma	1.637222544537087	-1.0172658076967684
TCGA-BT-A20N-11	bladder urothelial carcinoma	1.5036129109229954	0.12864789718608674
TCGA-BT-A20O-01	bladder urothelial carcinoma	1.734742898969376	1.8116679483929434
TCGA-BT-A20P-01	bladder urothelial carcinoma	1.6293125857667905	-0.7774859684342934
TCGA-BT-A20Q-01	bladder urothelial carcinoma	1.661060841645528	0.5847311613775994
TCGA-BT-A20Q-11	bladder urothelial carcinoma	1.5287901272495077	-0.9045279952467472
TCGA-BT-A20R-01	bladder urothelial carcinoma	1.5761191899108464	-0.16384471391126637
TCGA-BT-A20R-11	bladder urothelial carcinoma	1.488889708069313	-0.4385483751548533
TCGA-BT-A20T-01	bladder urothelial carcinoma	1.5798921577447935	0.46463817834543586
TCGA-BT-A20U-01	bladder urothelial carcinoma	1.5814401532285856	-0.2530909633479971
TCGA-BT-A20U-11	bladder urothelial carcinoma	1.542263186814533	0.6233780026304898
TCGA-BT-A20V-01	bladder urothelial carcinoma	1.412061210634235	-0.37015038292036123
TCGA-BT-A20W-01	bladder urothelial carcinoma	1.691570080086462	0.40763976535929675
TCGA-BT-A20W-11	bladder urothelial carcinoma	1.7186502707191371	0.7883813402024907
TCGA-BT-A20X-01	bladder urothelial carcinoma	1.664398406908412	-0.2887310906000933
TCGA-BT-A2LA-01	bladder urothelial carcinoma	1.4325298704496086	-1.1761187359523695
TCGA-BT-A2LA-11	bladder urothelial carcinoma	1.5643394811044145	-0.024716423658071456
TCGA-BT-A2LB-01	bladder urothelial carcinoma	1.570272270318974	0.10110762401835877
TCGA-BT-A2LB-11	bladder urothelial carcinoma	1.5415664626650132	0.9611864814031185
TCGA-BT-A2LD-01	bladder urothelial carcinoma	1.617515819874549	-0.0010808279312163242
TCGA-BT-A3PH-01	bladder urothelial carcinoma	1.572180888994459	-1.1402362181976449
TCGA-BT-A3PJ-01	bladder urothelial carcinoma	1.7034484244249222	0.5399577198095868
TCGA-BT-A3PK-01	bladder urothelial carcinoma	1.6119260324619715	0.03194739475328924
TCGA-BT-A42C-01	bladder urothelial carcinoma	1.6304601879332086	-0.8884081721009692
