sample_id	cluster	Treg_proxy	M2_proxy	ExhaustedT_proxy
TCGA-BJ-A2N9-01A	DM2	1.3356847080948127	3.1764017726261478	3.1302832617540806
TCGA-DJ-A4UP-01A	DM1	2.9105745113086265	4.069095804234084	3.5812004836734963
TCGA-E8-A44M-01A	DM1	3.3970782055161	4.556514428982844	4.657925550213263
TCGA-EM-A3O6-01A	DM2	0.4688673306457224	2.086226110432942	0.96182575943633
TCGA-EM-A4FH-01A	DM2	0.3356436068157538	1.10628022604836	0.8693132199589758
TCGA-FY-A40N-01A	DM2	1.4408353606422986	3.2126091550918146	2.633706939892355
TCGA-FY-A3WA-01A	DM2	0.338823114775023	1.750918247732035	1.6562673223735704
TCGA-ET-A2MX-01A	DM1	0.5922178480480735	2.762102101758872	1.1599292822479914
TCGA-FY-A3I5-01B	DM2	1.970709162578744	2.992437440989461	2.6496890265507367
TCGA-EM-A2OV-01A	DM2	0.34759067617139267	2.3087815772429616	0.6795675102382519
TCGA-EM-A3AI-01A	DM2	0.26295180120470735	2.1799591360935135	1.1816137102187323
TCGA-FY-A4B0-01A	DM2	0.8165728560961018	3.5861733668960647	1.706900645369135
TCGA-FY-A40M-01A	DM1	0.468968525051874	2.4797738824091855	1.294978299660523
TCGA-ET-A4KN-01A	DM1	1.5925128713167236	3.7314963814697806	3.334154851127353
TCGA-ET-A40P-01A	DM1	0.8508417734242435	3.503011480823016	2.2863629158364946
TCGA-FE-A22Z-01A	DM1	1.1484980140608854	3.6816386519152102	1.0534393320536803
TCGA-FK-A3SG-01A	DM1	0.8042888948355291	2.856895693814952	1.1199924722783303
TCGA-EM-A22Q-01A	DM1	0.3859856056739547	1.60021235601157	1.2719068892674348
TCGA-DE-A4MC-01A	DM1	3.377345000943697	3.3342441161745695	2.852953241161337
TCGA-DJ-A13S-01A	DM2	0.19438677237754848	2.4148277531524953	0.8734292521111435
TCGA-EM-A3SY-01A	DM2	0.557833001085	3.158398853153136	1.2646130327463376
TCGA-EL-A3TB-01A	DM1	1.183609704295855	2.885865479818731	1.8017118702524868
TCGA-BJ-A45C-01A	DM2	0.2989836749568936	0.7535405737043819	0.9664645918018315
TCGA-DJ-A2PX-01A	DM1	2.386895171691843	4.3026013976995205	3.5659108502328287
TCGA-EL-A3ZS-01A	DM1	2.980262227009198	4.402140605766645	3.714796434101049
