	subB_score	subB_GMM	subB_otsu_call
GSM6591236	0.01596898288590881	0	1
GSM6591237	-0.9747403251813234	0	0
GSM6591238	-0.9122749019772268	0	0
GSM6591239	-0.9591043077503917	0	0
GSM6591240	-0.9287880523714023	0	0
GSM6591241	-0.5754542811098176	0	0
GSM6591242	0.006374921021253921	0	1
GSM6591243	0.15658235268221965	0	1
GSM6591244	-1.591828786963939	0	0
GSM6591245	-0.061081160720346916	0	0
GSM6591246	-2.440003569669286	0	0
GSM6591247	-1.4314985727160339	0	0
GSM6591248	0.10059674216207717	0	1
GSM6591249	0.13970853036635383	0	1
GSM6591250	-1.0776201310251576	0	0
GSM6591251	-0.04170544622406469	0	0
GSM6591252	-0.9356325584686281	0	0
GSM6591253	-0.20357140729569995	0	0
GSM6591254	1.2998197591111889	1	1
GSM6591255	-0.8790882291967261	0	0
GSM6591256	-0.7437642469317893	0	0
GSM6591257	-0.6137904072481812	0	0
GSM6591258	-0.5921676784381771	0	0
GSM6591259	1.4336814979515187	1	1
GSM6591260	-1.7791042458322965	0	0
GSM6591261	0.46633554484664197	1	1
GSM6591262	-0.8701189449296298	0	0
GSM6591263	1.130941194532562	1	1
GSM6591264	-0.9179663518011446	0	0
GSM6591265	0.7849473347145148	1	1
GSM6591266	-1.1647301957242506	0	0
GSM6591267	-1.6245986903752088	0	0
GSM6591268	1.046855129083725	1	1
GSM6591269	-0.7491449431975855	0	0
GSM6591270	-1.4684320281823346	0	0
GSM6591271	-1.8483095308120143	0	0
GSM6591272	-0.8218592197527196	0	0
GSM6591273	-0.19016855084477952	0	0
GSM6591274	-1.051538959218011	0	0
GSM6591275	-2.239757967425946	0	0
GSM6591276	0.8939665896205167	1	1
GSM6591277	-1.8029721562121293	0	0
GSM6591278	-1.1140615407156913	0	0
GSM6591279	-1.9737361723245854	0	0
GSM6591280	-1.8356589989647456	0	0
GSM6591281	-0.8509062359362467	0	0
GSM6591282	-0.9899452631405922	0	0
GSM6591283	-0.4166270833320003	0	0
GSM6591284	-0.9809047048186463	0	0
GSM6591285	-2.428156736322941	0	0
GSM6591286	-1.8142475994028262	0	0
GSM6591287	-1.8459756923925488	0	0
GSM6591288	-2.0007164826257555	0	0
GSM6591289	-1.7127304426634835	0	0
