gene	target_ATC4	others_mean	log2FC
SLC27A6	0.057152159512043	0.0005886122429122528	5.193993836015381
CNR1	0.03556082025170326	0.0	5.192226532892476
MAOA	0.3591771423816681	0.008931776494137011	5.180511022083223
TTC39A	0.06817497313022614	0.0009136709995800629	5.1758354519073695
MARVELD3	0.061008669435977936	0.0007245231148165961	5.1682005615383435
RXRG	0.05388117954134941	0.0005276926676742733	5.166885244488291
FNDC1	0.33350250124931335	0.008335454932724437	5.163152859296144
EPHB3	0.21127185225486755	0.00494581457072248	5.15789479765046
SLC26A4-AS1	0.10672653466463089	0.0020326109952293336	5.150669391157814
CSRNP3	0.0634247213602066	0.0008278190216515213	5.139419255759655
SCARA5	0.03419468551874161	0.0	5.137285689812204
AC107294.2	0.03616295009851456	6.137119392709185e-05	5.129863827278929
SPINT1	0.8304015398025513	0.022748025444646675	5.129665950819715
OVOL2	0.03943156823515892	0.00015787684727304926	5.125928442698608
B3GAT1	0.1147151067852974	0.002330562643085917	5.118667495390619
CCL17	0.2497677356004715	0.006288067360098164	5.104671635791295
OMD	0.04671876132488251	0.0003902212483808398	5.101170188580967
TMEM59L	0.058569591492414474	0.0007492301131909093	5.089784070599752
FAM189A2	0.10313740372657776	0.0021045401420754692	5.067964947867294
HMCN2	0.03701591491699219	0.00014727719341559956	5.050317604529484
SLC16A9	0.11253517121076584	0.002436853634814421	5.045907065219403
ARHGEF38	0.03176342323422432	0.0	5.034014197440918
CRYGN	0.05074230208992958	0.0005903176497668028	5.023957379983689
CNTN6	0.1534997522830963	0.0037670458356539407	5.018365217622788
DTX4	0.6019185185432434	0.017659800127148628	5.0139576041167055
COL4A4	0.06149120256304741	0.0009358882865247627	5.012585496039551
PRELP	0.4695741534233093	0.013599505725627145	5.010430650017033
GPRC5C	0.5643453598022461	0.01655455306172371	5.009215283695545
LEMD1	0.0742393210530281	0.0013432026219864686	5.004933212498624
IGSF9	0.06662170588970184	0.0011112111387774348	5.001343638905263
ALKAL2	0.03799182549118996	0.0002192618364157776	4.999091816346484
ANXA9	0.05493761971592903	0.0007665627441989878	4.984801968455161
NECTIN4	0.1375015676021576	0.003396685429227849	4.977342179622019
PPARGC1A	0.03765757754445076	0.00022909656399860978	4.975081064057472
TM4SF4	0.03519007936120033	0.00018115507070130357	4.937323981529734
CLDN7	0.5487102270126343	0.017063944910963375	4.927486423456309
MUC1	1.8732731342315674	0.06218210359414419	4.890671428092648
PARM1	0.4727784991264343	0.014997394445041815	4.888303875843051
PIFO	0.06427838653326035	0.001204533381193566	4.88806017146219
PGBD5	0.16750487685203552	0.004728730845575531	4.878430979275233
THRSP	0.035426065325737	0.0002455542077465604	4.8701114507560215
DOCK3	0.06037263944745064	0.001116081140935421	4.858128777029386
SYNE4	0.06630895286798477	0.0013351354088323812	4.849220296843249
ADGRF1	0.18241986632347107	0.0053778210033973055	4.845942488165924
FCGBP	0.32269054651260376	0.01055299382035931	4.808276569394842
PBX1	0.3050425350666046	0.009992989090581736	4.799076552387178
HGD	0.02859424240887165	6.807054160162807e-05	4.792237686038199
COBL	0.06053768843412399	0.0012279813333104055	4.787661201619763
TNNC1	0.05824458599090576	0.0011516737916584436	4.783152043514476
ATP8A1	0.35023996233940125	0.011775463974724213	4.781009404383346
PDE9A	0.13053347170352936	0.0038084101397544146	4.773726204903198
HHATL	0.03059391863644123	0.0001555877000403901	4.772948229290927
PI16	0.055293790996074677	0.0010591921745799482	4.772825425764157
TRMT9B	0.07568465173244476	0.0018110742870097358	4.769744369527139
CLDN16	0.39090457558631897	0.013418057700619102	4.764553683826138
GPC4	0.08274096250534058	0.002105795225361362	4.752898883632511
LARGE2	0.06886891275644302	0.0015968582398879032	4.749811524512296
TFCP2L1	0.046774972230196	0.0007904484712829193	4.737862130698871
RGS6	0.026115871965885162	2.009075615205802e-05	4.732368146158644
