target	feature_set	heldout_sample	heldout_stage	alpha	n	spearman_r	pearson_r	r2	mae	auroc_q50	auroc_q75	auroc_q90
TDS_like_score	morphology_only	GSM7980870_LPTC-3	LPTC	149.24955450518323	200	0.5627594596095046	0.3921138271104591	0.08254180535422273	0.35754640047326497	0.783	0.8337333333333333	0.7583333333333333
TDS_like_score	morphology_only	GSM7980871_LPTC-4	LPTC	2.227542951999559	200	0.20066009174984228	0.1218847420519589	-0.024355471655413963	0.38122436865586257	0.5829	0.5890666666666666	0.48250000000000004
TDS_like_score	morphology_only	GSM7980872_ATC-1	ATC	149.24955450518323	200	0.13600999652365145	0.09567550942161007	-0.12342603996340151	0.20030170384904394		0.5573333333333333	0.5330555555555555
TDS_like_score	morphology_only	GSM7980873_ATC-2	ATC	149.24955450518323	200	-0.16149751207540547	-0.04452513439776474	-0.03719804302647822	0.19503541311437583			
TDS_like_score	morphology_only	GSM7980874_ATC-3	ATC	149.24955450518323	200	-0.06877435555972018	-0.02528244071683134	-0.23747037785330782	0.13422565134181483			
TDS_like_score	morphology_only	GSM7980875_ATC-4	ATC	149.24955450518323	200	0.22076967978857848	0.18980833251623527	0.026261357768753713	0.32702439958814344	0.5790000000000001	0.5382666666666667	0.4819444444444445
TDS_like_score	clinical_text_only	GSM7980860_N-1	PT	10000.0	200			-0.010953338109531696	0.39460950583778415	0.5	0.5	0.5
TDS_like_score	clinical_text_only	GSM7980861_N-2	PT	10000.0	200			-0.000702813769927646	0.40048729259062676	0.5	0.5	0.5
TDS_like_score	clinical_text_only	GSM7980862_N-3	PT	2462.0924014946304	200			-0.00867844985336963	0.35820206033753066	0.5	0.5	0.5
TDS_like_score	clinical_text_only	GSM7980863_N-4	PT	10000.0	200			-0.01183398969031324	0.35670796615173717	0.5	0.5	0.5
TDS_like_score	clinical_text_only	GSM7980864_PTC-1	PTC	4961.947603002908	200			-0.01988881748498761	0.4079777419301551	0.5	0.5	0.5
TDS_like_score	clinical_text_only	GSM7980865_PTC-2	PTC	10000.0	200			-0.009802991243241799	0.39138425544723676	0.5	0.5	0.5
TDS_like_score	clinical_text_only	GSM7980866_PTC-3	PTC	10000.0	200			-0.006394543428938082	0.30127860680989604	0.5	0.5	0.5
TDS_like_score	clinical_text_only	GSM7980867_PTC-4	PTC	10000.0	200			-0.0004913947915223815	0.2917763756282035	0.5	0.5	0.5
TDS_like_score	clinical_text_only	GSM7980868_LPTC-1	LPTC	10000.0	200			-7.578319531664768e-05	0.2934096978482563	0.5	0.5	0.5
TDS_like_score	clinical_text_only	GSM7980869_LPTC-2	LPTC	4961.947603002908	200			-0.007379007141781191	0.36749192287464466	0.5	0.5	0.5
TDS_like_score	clinical_text_only	GSM7980870_LPTC-3	LPTC	10000.0	200			-0.006504989079344048	0.3924297397237014	0.5	0.5	0.5
TDS_like_score	clinical_text_only	GSM7980871_LPTC-4	LPTC	10000.0	200			-0.0006990269189457443	0.380472017387181	0.5	0.5	0.5
TDS_like_score	clinical_text_only	GSM7980872_ATC-1	ATC	4961.947603002908	200			-0.025018548398452856	0.1671236937910047		0.5	0.5
TDS_like_score	clinical_text_only	GSM7980873_ATC-2	ATC	10000.0	200			-0.01240087241668797	0.09774553990681233			
TDS_like_score	clinical_text_only	GSM7980874_ATC-3	ATC	10000.0	200			-2.5016535561972475e-05	0.05614160510919979			
TDS_like_score	clinical_text_only	GSM7980875_ATC-4	ATC	10000.0	200			-0.0012559591548071403	0.3317863567464299	0.5	0.5	0.5
TDS_like_score	morphology_plus_text	GSM7980860_N-1	PT	606.1898993497572	200	0.29269251251488904	0.40990560458550385	0.15153965275468728	0.3684460297903421	0.6213	0.6248	0.581111111111111
TDS_like_score	morphology_plus_text	GSM7980861_N-2	PT	300.7882518043102	200	0.22141903547588693	0.2589479966971728	0.04458646437579128	0.3940472884693918	0.586	0.5869333333333333	0.5377777777777777
TDS_like_score	morphology_plus_text	GSM7980862_N-3	PT	606.1898993497572	200	0.1931193279831996	0.22178065544791195	0.032507630130144904	0.3444299519032329	0.5957	0.5852	0.49111111111111116
TDS_like_score	morphology_plus_text	GSM7980863_N-4	PT	300.7882518043102	200	0.012376809420235509	0.0801199436527081	-0.0028924608712155297	0.3596674826842164	0.5102	0.4488	0.4291666666666667
TDS_like_score	morphology_plus_text	GSM7980864_PTC-1	PTC	149.24955450518323	200	0.020773862963695485	0.03754312669098579	-0.0246235479653647	0.39224897513535134	0.5503	0.4917333333333333	0.4802777777777777
TDS_like_score	morphology_plus_text	GSM7980865_PTC-2	PTC	300.7882518043102	200	0.3758253956348909	0.3804658459209947	0.09073140681031588	0.3724627855757076	0.6598000000000002	0.6394666666666666	0.6002777777777777
TDS_like_score	morphology_plus_text	GSM7980866_PTC-3	PTC	606.1898993497572	200	0.054359879381943144	-0.004238233862310029	-0.03808637823097527	0.307907108656055	0.5278	0.4670666666666667	0.3038888888888889
TDS_like_score	morphology_plus_text	GSM7980867_PTC-4	PTC	300.7882518043102	200	0.2823388672444186	0.365118156586374	0.10837728320643059	0.27528354375992015	0.6440999999999999	0.5608	0.4863888888888889
TDS_like_score	morphology_plus_text	GSM7980868_LPTC-1	LPTC	300.7882518043102	200	0.28183904597614945	0.3742659525437871	0.10944528805338949	0.2767980387857159	0.6191	0.5863999999999999	0.6013888888888889
TDS_like_score	morphology_plus_text	GSM7980869_LPTC-2	LPTC	606.1898993497572	200	0.23835481042675286	0.2726823660424811	0.06847653902262507	0.34142579454090766	0.6132	0.6269333333333333	0.6858333333333333
TDS_like_score	morphology_plus_text	GSM7980870_LPTC-3	LPTC	300.7882518043102	200	0.5643031261378331	0.4098847671839966	0.10562009890558643	0.35265577649299795	0.7858999999999999	0.8368	0.7630555555555556
TDS_like_score	morphology_plus_text	GSM7980871_LPTC-4	LPTC	2.227542951999559	200	0.2052134572914932	0.12748695503171942	-0.016735313456790912	0.3719795750646891	0.5834	0.5913333333333333	0.4905555555555556
TDS_like_score	morphology_plus_text	GSM7980872_ATC-1	ATC	606.1898993497572	200	0.16491705388292843	0.09610429960832975	-0.08298761379005004	0.18788704514192656		0.5749333333333333	0.5419444444444445
TDS_like_score	morphology_plus_text	GSM7980873_ATC-2	ATC	300.7882518043102	200	-0.16150860508032186	-0.04777956912917913	-0.062132056446873474	0.17917797872098126			
TDS_like_score	morphology_plus_text	GSM7980874_ATC-3	ATC	606.1898993497572	200	-0.06266918949078608	-0.033422997865432	-0.22544832808321846	0.12050204206848943			
TDS_like_score	morphology_plus_text	GSM7980875_ATC-4	ATC	300.7882518043102	200	0.24405845304533974	0.18514793218038206	0.032773016639354946	0.3234898311200815	0.5921999999999998	0.5497333333333333	0.4638888888888889
TROP2	morphology_only	GSM7980860_N-1	PT	9.047357242349303	200			0.0	3.8870675051242563			
TROP2	morphology_only	GSM7980861_N-2	PT	18.233480008684424	200	-0.07572472690573095	-0.06958778902198731	-22.236656219895288	4.342272846792078			
TROP2	morphology_only	GSM7980862_N-3	PT	9.047357242349303	200	0.13166219112485825	0.13641507841900416	-0.0577148407978485	4.349263953343276		0.5809592499098449	0.5809592499098449
TROP2	morphology_only	GSM7980863_N-4	PT	18.233480008684424	200	0.10032731262966779	0.10767559716038066	-0.11118496238604081	4.218976547540251		0.5770496117910251	0.5770496117910251
TROP2	morphology_only	GSM7980864_PTC-1	PTC	18.233480008684424	200	0.3632466397617016	0.32257410895184524	-0.09335085324708592	4.8207015727598534	0.681964573268921	0.7020398251578436	0.7015475313190862
TROP2	morphology_only	GSM7980865_PTC-2	PTC	18.233480008684424	200	0.21477396093211212	0.32068245904679427	-0.3801435080689195	5.285173637640534	0.6722619047619048	0.5786813186813187	0.46581537642990156
TROP2	morphology_only	GSM7980866_PTC-3	PTC	9.047357242349303	200	0.22369388922042466	0.2954499227344739	-0.7881943463189707	5.510938837189762	0.6532835356364768	0.5970289779265614	0.5035299003322259
TROP2	morphology_only	GSM7980867_PTC-4	PTC	9.047357242349303	200	0.3435478511303432	0.3297823670587346	-0.4515979463794215	5.564278196469527	0.6942199488491049	0.6742319749216301	0.6375
