	M001	M002	M003	M004	M005	M006	M007	M008	M009	M010	M011	M012	M013	M014	M015	M016	M017	M018	M019	M020	M021
S0215	4.1315026	4.279512	2.0160997	4.2573037	0.3932565	-0.910584	-2.246727	-1.7835099	2.815201	0.9813308	1.4405302	5.669547	4.4978538	3.885672	0.9384756	-1.9674394	-0.8081153	-0.25550804	2.1085188	1.6066849	2.1658368
S0216	4.7299266	4.5847735	5.0256906	4.5926094	4.3168273	2.4103584	2.0851088	5.2654386	4.028743	3.5103602	2.9029758	3.0434525	4.258838	2.9690754	1.2501657	0.28894603	0.54744226	1.9853253	1.3039427	2.5454443	2.3642514
S0217	2.1705718	3.014085	3.98892	3.0443912	3.1335564	1.7491262	1.8781096	3.253836	3.5897436	1.0751575	1.6808634	6.228015	4.906086	2.7656054	5.0742264	3.3389587	4.754255	5.8180056	4.7860613	3.4364977	6.1278996
S0218	4.2210546	2.3768773	1.5948614	4.360384	3.4652238	4.5891657	1.3158854	2.4164171	5.136532	3.1596785	2.5016713	1.6865592	-0.06814552	1.2035649	0.8189089	-0.8227546	-0.85014606	-2.2389212	0.9090043	-0.36426112	-1.7737405
S0219	-3.1408806	0.5581891	1.7724655	0.049609393	0.17391174	-1.4226788	0.50412726	1.5082527	-2.3015049	-2.8316593	-0.6039706	5.4366875	6.5141196	3.3371315	5.136572	4.516228	5.9780455	7.231563	5.2684364	5.824233	6.5156627
S0220	2.7265658	1.4798223	2.0372393	3.1124482	5.6868095	6.397304	3.9421053	5.3907194	5.4484925	5.31384	2.3557415	1.5458412	0.69319004	0.21836852	3.7601838	4.5510406	2.796116	2.3443582	3.160321	0.7601222	1.8314395
S0221	4.780528	-0.40142506	0.7626232	4.3921957	7.5816436	9.402313	5.454967	7.0721726	8.396337	6.1424828	3.0705676	-2.5671668	-4.826105	-2.4361217	3.0002077	2.6646957	1.5777634	-2.219644	1.4910699	-1.9995124	-2.2198336
S0222	-4.5391498	-2.033257	0.33436367	-1.4048681	1.2123575	0.2041255	2.073131	2.406735	-2.236153	-2.5302148	0.316617	3.490813	3.153908	0.93786645	6.3886886	6.315003	8.085991	6.12931	4.5394516	3.4655116	6.8259864
S0223	1.7537968	1.1354015	1.6167041	2.6977472	4.7209697	5.4909477	3.528049	4.367999	5.2322874	3.1458213	1.7844524	1.897686	0.058461756	-0.14395395	4.206256	3.8962748	4.165714	2.7408965	3.6783094	1.0520129	2.2209857
S0224	2.7298956	2.2829854	3.752721	3.1786423	5.193947	5.2344036	3.472312	6.2193656	5.0085993	4.9324007	2.5006194	2.4938846	1.3647133	1.400653	2.9521644	3.097393	3.2018738	3.7992418	2.0468097	1.3725401	2.8594205
S0225	4.190604	3.1924384	1.4227538	3.7549841	1.565239	1.3332083	-0.08670444	0.5163606	4.5121613	1.7163769	0.5096968	3.1284409	1.8892157	2.5909598	-0.5346849	-0.7974866	-1.4566101	-0.480534	0.82880455	0.90796643	0.25351
S0226	5.3827004	2.878542	2.9233475	4.445484	4.731752	4.94889	2.1097713	4.148085	6.996859	5.1662397	1.4502127	0.7137013	0.4397917	0.49552348	0.36055323	0.92356265	-0.39422685	2.355862	1.8119738	1.2529687	-0.70353895
S0227	-3.1939185	-2.3579357	0.566004	-0.29727575	3.1913445	0.75419134	2.972828	3.0184522	-0.6629547	-0.82465553	-0.4669782	2.041915	1.2171627	0.025279278	5.449541	5.127309	6.936926	5.9111342	3.7164009	2.3983421	5.751239
S0228	-4.179674	-0.34188652	1.1006405	-1.5189238	1.1546745	-0.12352405	0.8933152	1.2940464	-1.6483362	-2.5074515	-1.2470982	6.5154324	6.336146	2.6174018	5.6796517	5.585582	7.808465	7.877738	5.8281817	4.073423	7.616458
S0229	3.0046475	3.0284176	4.4105964	3.790982	5.5602136	4.951977	3.8243594	6.4480314	4.5068398	6.0991473	4.1399374	0.39625028	3.0077705	-0.17778361	1.2598621	1.9941146	1.7411169	3.0612926	1.4121363	2.1374028	1.8354155
S0230	3.3049982	1.8104346	3.7948666	3.4887967	5.555735	5.767797	3.4795341	5.874519	5.5203433	6.585793	3.5869231	-1.295668	-0.514517	-1.2185137	0.9315078	1.3170023	1.0814834	1.9866136	0.3264689	1.2166133	-0.5064039
S0231	4.1295094	6.038443	3.9097395	4.8693624	0.023032533	-3.4596255	-3.1298738	-1.7362069	1.2355498	-0.47337973	0.8099753	7.614571	8.780379	6.463618	0.2683519	-2.497076	-0.97106606	1.8731781	2.809823	4.126931	4.580029
S0232	3.4948692	3.7272499	4.842838	3.4085326	4.0167837	3.2022617	1.973561	5.5443845	3.4250083	4.975496	3.858457	1.0406138	3.005019	0.9713941	0.65502566	0.97042406	0.03288665	3.3272486	-0.2135601	2.162571	0.8353534
S0233	2.4702024	-0.058626447	0.91730636	3.1076317	6.590439	8.450246	5.0678267	6.031966	6.5744505	6.843881	3.1649368	0.73199743	-1.8953087	-0.9001832	4.479758	5.2150817	3.545179	0.15983385	2.9431038	-0.8379282	0.6146247
S0234	-2.3246374	1.46619	0.80443364	0.6939917	-0.07862312	-1.7582433	-0.5809784	-0.29395318	-1.4075067	-3.799739	-0.96615005	7.6068077	6.7253704	4.761486	4.826467	3.6691034	4.762708	5.475547	4.672447	4.88771	6.160896
S0235	-6.11415	0.65123916	-0.36936757	-1.458196	0.112763554	-1.514595	0.5745076	-0.36614698	-4.1376085	-6.7210593	0.54612595	11.088927	7.2424746	6.5839953	9.355072	7.7890744	9.054023	5.838149	9.174412	4.902438	9.924901
S0236	2.6437943	2.5686846	4.1806927	3.6087205	5.14979	5.8316684	3.6578283	5.5670033	4.727118	5.3406014	3.614126	1.9022088	0.926654	0.5241501	2.4772515	2.6425867	1.7052513	2.7835352	1.6825196	1.1839728	0.6869895
S0237	1.6706389	4.064882	3.4466968	2.984716	1.7263695	1.5782163	1.294015	2.1841583	1.5999292	0.12070823	3.709148	7.7446003	5.0302615	4.970655	4.5692215	2.080509	2.9830244	0.6411576	4.2973104	2.7454958	4.4666414
S0238	-3.637712	1.5760201	1.2227012	-0.82839084	-1.1989346	-4.9859805	-1.4001884	-1.9073039	-3.8090127	-7.2384043	-3.6141703	10.995129	9.051138	6.7499557	5.0772743	3.1763198	6.245844	5.249334	4.6975636	4.2059608	10.386369
S0239	3.400641	1.2754071	2.5343323	3.4089968	4.505987	6.555694	3.7473671	4.917928	5.212681	5.143939	3.6137178	0.10564914	-0.8659787	-0.7802259	1.9644054	1.9239213	0.776653	0.0076990514	1.1196991	0.27558377	-0.7197114
S0240	4.231482	2.27173	0.52057	4.176114	1.3963168	1.249338	-0.8103628	-0.43337497	4.0307765	2.257633	-0.062173918	2.7465563	1.5282854	2.3822286	-0.2358825	-0.63682306	-1.931933	-0.81614083	1.328898	0.7277885	-0.18146423
S0241	2.9683123	2.1881194	1.722484	3.4543235	3.6978076	4.387534	2.3448462	3.0948284	4.9814773	3.1580582	2.5036314	1.9134686	-0.1039335	0.213771	2.1302576	1.3218086	1.0834877	-0.071309075	1.8126427	0.40025923	0.2192149
S0242	1.932225	4.0895076	4.4042835	3.8117454	2.6304984	1.7220979	1.2404062	3.9316788	2.543312	2.799823	3.0356617	4.2759404	6.2181506	3.4217727	2.2763932	1.0600358	1.6899941	3.2604122	2.0328028	3.853763	3.232065
S0243	4.5879664	1.7271326	0.79788417	3.393851	2.001237	2.1027691	-0.03060813	0.021523016	3.8207283	2.4701355	0.52382517	0.61955947	0.17993037	1.1616806	-0.632713	-1.072322	-1.2061247	-1.6501133	0.5557006	-0.44292372	-0.46376827
S0244	2.3703017	2.1824682	4.050514	2.4106965	3.8862371	2.738147	2.5807428	4.1961026	3.5251968	3.670361	2.2901978	-0.6667317	-1.0420978	-0.3844248	0.55301166	-0.29397073	-0.4017585	1.2046156	-0.6568612	1.1772453	0.82038724
S0245	-5.2884564	1.7939023	0.5344156	-1.7720107	-5.9902563	-7.4525633	-2.6285331	-1.8695611	-6.8520713	-7.1353126	-5.2104416	4.705193	8.806411	5.392786	-0.77526826	0.16699776	-0.182961	8.064507	1.6614871	6.0888352	2.9540503
S0246	5.6923203	1.5796318	0.90647453	4.417329	5.5928907	6.3948455	3.0783484	3.3789966	8.300002	5.614009	-0.023963924	-1.1796533	-1.6380548	-0.33180952	-0.68004024	0.60384023	-0.76318777	-1.1470581	2.1174262	-0.76807696	-1.9237679
S0247	0.9331729	2.721336	3.0351596	2.8380263	3.299676	2.1807175	2.2439113	3.4357686	2.0821345	1.4298733	1.3636171	6.5992403	6.2365856	3.8840168	5.1708636	5.061035	4.4344707	6.740805	4.4516807	4.178713	5.580437
S0248	5.465995	2.4184027	2.8499684	5.7403374	5.362353	5.755785	2.6460812	4.871356	7.3754845	5.6931515	1.9846256	-0.6664512	-0.56125385	-0.9121324	1.2637827	1.1603105	-0.8490761	2.431263	1.7511892	0.87014854	-1.0549275
S0249	-3.6385007	0.07596884	0.63708407	-0.3719851	1.0975142	0.3597967	1.5732967	1.2466413	-1.4856209	-3.0305455	0.54152143	7.552986	7.0847735	3.619561	8.408683	6.0704403	8.971155	6.2926936	6.5270643	4.248438	8.417228
S0250	-4.4916606	-1.5828142	-0.5065324	-2.1863956	2.0028615	2.4099557	3.0165796	2.1092422	-0.89320844	-3.008895	1.2671005	5.04225	1.7791444	1.3892776	8.901546	8.434744	9.945241	4.9644537	7.622406	2.6240926	6.8851886
S0251	3.5348518	2.468782	4.169846	3.3759363	6.608331	7.3146896	4.655402	7.219235	6.1717477	7.523953	3.7625434	-1.4016773	0.25513804	-1.5320363	0.5989395	3.063602	1.9111514	3.28701	0.39087212	0.854866	0.38008302
S0252	1.9646195	1.3063872	4.138349	2.9593892	6.0896506	5.935071	4.8602996	8.024253	4.4292836	5.995752	5.2430143	-1.0120429	0.6823072	-1.0675552	2.648165	4.0749664	3.399956	3.2742774	1.1317903	1.3004779	1.1667534
S0253	4.697826	5.655211	0.23143475	3.5634983	-4.798572	-7.764203	-7.1197424	-9.182041	-0.6238486	-3.5945828	-2.1540992	10.485599	9.846253	8.7326	-1.038231	-5.7913804	-2.862055	-2.5625012	2.9901807	2.2571507	3.4352565
S0254	-5.5342493	-0.93164754	2.7107055	0.621257	3.2792203	0.96335286	3.6010137	3.8617074	-0.99852794	-4.0630627	-1.1953694	4.3581085	5.030661	1.4003364	6.3591733	6.733113	7.717	8.299768	5.3275704	5.502729	5.048136
S0255	1.5003526	0.70069396	1.6512575	2.172531	2.6789615	4.351193	2.6975121	3.8111322	3.2932973	3.078772	2.6219156	-0.601588	-0.24598055	-1.1593987	2.5818965	2.196184	2.5503192	1.1980827	1.2053479	0.7530139	-0.55685985
S0256	4.3614397	-0.1612515	0.10298358	3.0390882	3.6581438	6.136053	2.6895707	2.7228842	5.902857	4.969511	1.3937944	-1.3632836	-3.3275244	-1.343305	0.8267192	1.237382	-0.29308334	-2.877256	0.27115723	-1.6690803	-1.7766103
S0257	4.932758	5.3456388	2.3006818	4.8582773	-0.017853657	-2.1274478	-2.530385	-2.5237825	2.592906	0.768059	0.09624803	7.472659	7.19	6.178185	-0.05726628	-2.7562644	-1.4587423	-0.18272026	2.183243	2.121256	3.6946619
S0258	5.867516	1.6708541	0.3547869	4.27182	3.1824937	4.9951196	0.5799156	0.42170623	6.472459	4.166313	1.3244275	0.8775079	-0.7881967	0.56931734	0.24817684	-0.63036734	-1.4640135	-3.0604303	1.2495495	-1.1441777	-1.7725515
S0259	3.7711313	1.3257492	0.8472342	3.4755683	4.922216	5.812745	2.6575177	3.493046	6.3075128	4.441322	0.82429016	1.8234258	0.37620246	1.1239597	3.742784	3.2216785	2.220988	0.7741985	4.5720043	0.8773906	1.1670552
S0260	4.0824695	2.376185	2.1212022	4.0085535	2.7923446	3.5761771	0.762417	2.467321	4.42767	3.8619978	2.567393	2.1013298	1.3021203	1.0361904	1.6974275	0.94201934	0.09433306	0.07219122	1.3472054	0.7039016	0.23452857
S0261	3.8662183	1.770105	2.712784	4.3996844	4.550581	5.623561	3.2226136	4.587984	5.5040145	4.8374715	2.5611908	1.0705837	0.769787	0.3956998	2.4354162	2.1606755	1.6115751	1.1500175	2.237447	1.0909146	1.2041582
S0262	4.367242	2.2520957	2.320705	4.097448	4.706975	5.0069885	1.5191027	2.5688791	6.5312963	5.2694464	1.9589571	1.915025	1.1513531	0.35086736	1.7808089	1.7648964	0.37271714	1.1537167	2.6405609	0.5930472	0.9363377
S0263	5.425233	3.9445584	2.8607404	5.0580406	3.707607	2.7324352	0.05759625	2.317813	5.055742	4.490662	1.5822271	3.05033	2.7871258	2.1405606	0.118500166	-0.20860794	-1.1129615	1.4963568	1.6147406	1.2615399	1.5677459
S0264	-0.6668182	0.5911479	2.2692168	0.5859446	3.665355	2.3887982	3.1923132	4.071703	1.5546138	0.6591519	0.67217106	3.3888884	3.1701746	0.9135063	5.3487806	5.4356475	6.90587	6.13332	3.0553792	2.751755	6.0431223
S0265	-0.6363602	3.0301533	2.7501721	1.9148068	2.1940105	-1.0323764	0.46535656	0.77275264	0.27665177	-0.5636197	1.9605999	10.216004	7.566586	5.718601	7.137119	4.357333	5.3002033	4.8892303	5.67115	4.176914	8.596588
S0266	1.6067829	1.4059603	1.4024292	2.8558848	3.2113633	4.8693953	3.359776	3.568552	3.6501386	2.5855272	2.9830427	1.4984645	0.57798153	0.5864868	3.911456	1.7206547	2.4019556	-1.4835494	1.6873583	0.24966069	0.11715312
S0267	1.4133779	1.8373281	4.56613	2.6403904	5.548664	5.5387306	5.1489086	8.1282215	2.8286602	5.4977922	5.487309	-0.6732489	1.0703223	-1.6345643	3.1860535	3.2933826	3.4906735	2.9300053	0.81700784	2.1226454	1.7914004
S0268	3.157547	3.2450259	1.8468467	3.2723558	0.88182783	-0.47617018	-0.93959403	-1.3743856	2.096007	-0.20232287	-0.5881517	6.4084926	6.5368953	4.451494	2.4327602	1.0343139	2.7929204	2.9016564	3.8234837	3.1663065	5.5185504
S0269	5.2695494	1.657075	1.4657146	4.5044575	5.406622	6.256649	3.0798404	3.89106	8.241437	5.285083	1.6743169	-0.13564353	-1.8170544	-0.29199463	0.8428498	0.60276294	-0.6580357	-1.8858021	1.7414098	-1.158109	-2.2091703
S0270	3.4765613	2.9147992	3.8566701	3.9720037	3.797186	2.4603925	1.4906374	3.757805	3.6520984	2.8587823	2.8957977	4.011825	3.854199	2.0947578	2.5777695	1.5800729	2.6857357	2.8059938	2.5423546	2.3891578	4.2313747
S0271	3.7967138	3.7677953	4.522635	4.373261	3.9849558	2.263205	1.3753263	3.8945665	3.5424297	3.4736757	3.062074	3.216906	3.3548834	2.0958846	1.3210006	0.48639908	0.90424806	2.3346665	1.5323803	2.2575314	3.412573
S0272	3.1457403	3.8610816	5.0982327	4.152742	4.6213493	2.3935463	2.3036914	4.669657	3.685345	3.1931627	3.6786742	2.8191614	4.908014	1.6203504	2.839338	1.6182233	2.470104	3.6754844	2.3749394	3.0900836	3.9404323
S0273	5.803831	1.7464952	0.47021893	5.257425	5.3120217	8.161434	3.254891	3.2930326	8.107771	6.7531977	1.7358834	0.36375704	-0.7739592	0.31826365	1.8045297	2.6356535	0.4037772	-1.4200271	3.3993845	-0.94513404	-0.41046456
S0274	4.0133295	3.318646	1.9363502	4.418007	1.5810131	1.730212	-0.10238997	0.9024174	3.459858	2.3203778	1.7393817	4.0898643	3.1535897	2.9082468	1.9230455	0.68344307	0.118769325	0.07150905	2.323807	1.9146712	1.3712612
S0275	2.6836102	2.830163	4.387187	3.6142335	5.6881604	3.9005802	3.2281413	6.6132984	4.4444046	5.0722866	3.2941792	0.08700456	1.6277151	-0.51320213	1.3516153	1.706531	1.3656703	4.7639914	0.75011474	2.4225643	1.5983412
S0276	2.9993603	6.913598	0.44179565	2.1836977	-6.8581142	-9.155883	-6.3776054	-8.354299	-3.218992	-4.311012	-2.5546644	9.83914	14.786927	10.923186	-4.1522384	-5.3560686	-4.1033697	-1.355661	0.6240244	2.4493623	3.769804
S0277	3.6628194	2.6415343	4.373489	3.84176	5.0510416	4.1058702	2.884196	5.433298	5.520673	4.963927	2.5414865	0.63293564	1.3625166	0.2716991	1.2459433	1.9107754	0.70862496	3.6784031	1.5572109	2.1118727	1.8322929
S0278	5.9576573	6.3230853	3.1040382	5.188358	0.5235893	-1.8248705	-2.1454234	-0.98480076	3.1713035	2.2433949	0.17385511	6.092457	8.063969	6.4521084	-1.8299052	-1.9926252	-3.255307	1.8935786	1.5024903	3.812463	2.5770876
S0279	4.1293783	1.908972	2.1219487	4.0788217	4.232938	5.160781	2.1320724	3.5227263	6.45164	4.377451	0.9710911	1.8539544	0.90328604	0.51443726	2.233226	1.6669437	0.73516655	1.9468408	3.1432672	1.1226945	0.32878003
S0280	5.0700765	3.241944	3.678439	5.0793633	6.3261833	7.556719	4.61384	6.2287755	6.9358125	7.054656	4.4899144	2.5680408	1.5166767	1.4474757	3.2051497	3.0458772	1.6934648	0.23012368	2.649608	0.36807954	0.6846128
S0281	3.4286647	4.684955	5.056863	4.338048	4.3728485	2.208148	1.8533136	4.4007716	3.966069	3.8407853	3.037629	4.2242336	5.1197248	2.939288	1.7892668	1.0961732	0.5364681	4.318216	2.1274834	3.749388	3.3218076
S0282	5.134635	1.6666602	0.91160905	3.953345	2.9200752	3.8127224	0.69109625	1.4900775	5.239421	3.9623556	0.528315	1.0488913	-0.6743691	0.6432785	-0.067328654	-0.36378497	-1.5675119	-1.1367817	0.9626971	-0.562523	-1.2649523
S0283	4.5285096	5.826284	5.589207	5.0340424	2.5777552	0.44472072	0.24020408	3.2096105	2.7006242	2.6360402	2.8238454	4.287035	7.243861	3.6106744	1.0169618	0.13199823	0.21177688	3.8106666	2.4046712	4.258944	3.7942257
S0284	1.8289902	1.7330728	2.7874527	2.0899074	4.310293	4.6379676	3.2440748	4.632399	4.2430577	3.5410519	3.1606364	2.9711285	0.7861069	0.57613844	4.0415125	3.3068402	4.3519483	2.9924474	2.7872393	1.300242	3.0273616
S0285	4.0595627	2.3464305	3.3557985	4.1199317	5.55875	6.646733	4.3244452	5.741381	5.824806	5.951096	4.2275534	1.7802216	0.95973206	0.6061819	2.8018649	2.1110306	1.7049657	0.14922734	1.6525652	0.6689429	0.37928516
S0286	3.3150213	1.9966149	3.768048	3.0783284	5.1283884	4.686658	3.1305532	5.7698035	4.792172	5.1097984	3.089949	-0.014790536	0.75884503	-0.6363869	1.6346132	2.0401762	2.5802374	4.1064315	0.9319658	1.2985102	1.7911749
S0287	3.845893	1.1553897	0.016135428	3.7653155	3.2533047	5.090525	1.5677941	1.6150773	6.3853045	4.8815575	2.1473591	0.041872412	-1.921637	-0.6374228	0.5293042	0.81841433	-0.054202523	-2.821858	1.585165	-0.53262293	-1.898596
S0288	4.6303296	3.1361039	2.129748	4.3768	2.9268749	2.7472615	1.0509243	1.6699361	4.8480268	3.566876	0.9572216	3.0306628	1.9026712	2.0818489	0.33699772	-0.40076217	-1.2456377	-0.34834024	1.8611897	1.1676248	0.15224476
S0289	-3.959796	-0.9107318	-2.246145	-1.4037344	-2.355152	-3.487084	-2.0112934	-3.595494	-3.2625372	-6.028237	-1.9860643	7.238043	4.036443	3.837944	5.163063	3.4525757	5.5016646	1.7279413	5.159018	2.7037263	5.6948304
S0290	2.4153557	2.2130063	2.0007415	3.037476	3.8253071	4.5740647	2.2771482	3.6225595	4.1156287	4.0374255	2.9807513	3.4274247	1.2241255	1.7082064	2.581886	2.5283625	0.964074	0.46151662	2.409428	0.7384048	1.29894
S0291	4.65824	2.456091	4.2634354	4.5612726	5.6517415	4.6370163	3.203442	5.7261496	5.388185	4.7219853	3.0525982	-0.018212996	1.3197691	0.16688293	0.9806625	1.07416	0.919036	1.584146	0.9158976	1.4027355	0.8920386
S0292	-4.9278035	-1.6255229	1.3915614	-2.0822957	3.1498873	1.2217993	3.2088249	3.8505912	-1.2137759	-3.5228498	-0.97878385	2.4457603	1.6476747	-0.13342218	5.76621	5.83037	8.4507065	5.148547	2.7012706	2.2852588	5.6172523
S0293	3.6822343	2.0533981	3.576609	4.651402	6.192066	4.5167994	3.638722	6.1522403	5.5231895	3.3334205	2.8765633	0.28721032	1.598905	0.5200044	2.0312145	2.3071744	2.0103562	2.9965744	1.5524963	2.279614	1.4874665
S0294	-0.57456505	5.206486	0.4095209	1.7358866	-4.0002174	-8.840343	-5.306449	-6.1855693	-3.8434157	-7.6276736	-4.3695726	12.572083	15.8484335	11.866368	1.0327287	-2.04076	-0.053544354	3.8658066	5.757664	8.369072	6.8406615
S0295	4.156562	3.5338328	5.161971	4.889093	5.860047	5.779483	4.036358	6.6689897	5.7747126	6.226235	4.4666986	1.557335	3.486377	1.108636	2.0828555	1.7467765	1.2513016	3.2543724	1.9789941	2.725213	1.6392063
S0296	5.473647	1.5142388	0.83587945	4.668809	5.1472774	6.511165	2.5621166	3.560956	7.863052	5.7441125	1.0557126	-0.32405826	-2.0817628	-0.51986116	0.4016138	0.91228855	-0.6395456	-0.77036315	1.7418631	-0.8216719	-1.7806674
S0297	3.9157476	0.95476973	0.6009111	2.9165542	3.3856728	4.728227	1.5704119	2.156199	5.1678314	4.6212955	2.2098982	-0.15827201	-2.9933782	-0.58149636	0.61071706	-0.19852918	-1.4854196	-3.0847108	-0.32964644	-2.348042	-1.6755645
S0298	4.4789033	1.0326856	2.8219943	3.5938687	5.8950796	6.857204	4.1746306	5.991611	7.3199916	5.391697	2.110196	-0.1614855	-1.1949053	-1.1976973	2.4093125	2.8241558	2.7614548	2.993888	2.0164104	0.55067706	0.94360673
S0299	2.373004	1.5141901	1.126014	2.9330072	3.4008942	4.4128222	2.8088996	3.0934522	4.516815	3.0484433	2.7854643	-0.096271716	-0.56647444	-0.5513969	1.480965	1.3769023	0.52391136	-0.6881057	1.1017869	0.50045925	-1.0947175
S0300	4.7263017	3.309472	0.4633754	4.6974063	1.4489418	0.37126526	-1.4011711	-0.34605026	4.579794	1.5341527	-0.46855742	3.1560285	3.287844	3.851399	-1.4185083	-2.027667	-2.5486498	-0.16158435	1.0000446	1.6031563	-0.24133624
S0301	0.2584349	2.6122062	1.1568831	1.9729471	0.058413696	-2.446871	-1.3751822	-1.3574345	-0.3008004	-2.851283	-1.006506	8.966752	7.7965884	5.802802	4.3175797	2.033913	4.28617	4.8797817	5.705831	5.3434935	6.9080453
S0302	1.7930409	2.6545196	5.163876	3.555551	4.9461017	5.7822227	5.3435307	8.294836	3.837563	5.245371	4.30852	-0.43993977	2.1906662	-0.2632656	2.8057966	4.061243	3.412355	4.650484	0.6882948	2.8808403	2.3437438
S0303	-4.1431913	0.19066003	-1.2512684	-1.1000798	-2.9037454	-3.9704976	-0.44465056	-1.3579789	-3.7753615	-6.4731402	-1.3087444	5.0505395	4.0098796	3.8390555	4.7741947	3.2689984	3.5391324	1.7743503	5.0386033	3.5353718	2.6030548
S0304	4.9712358	2.6089644	4.371315	4.991937	7.387419	7.77505	5.975857	7.6633954	6.8785996	7.034228	3.7487388	-1.4842381	0.16278353	-1.942661	1.5052446	2.635251	1.8611394	3.0686145	1.0842727	1.2239873	0.03178994
S0305	4.943964	3.398534	4.6009107	4.3923917	5.3475366	5.146309	3.5184784	6.310926	6.0709414	6.831341	3.8897383	1.1545212	1.7217456	1.0118937	1.6461048	1.692375	0.2635286	2.8785388	0.7375072	1.6794116	0.845617
S0306	4.290316	2.869177	4.5855207	4.3369827	5.1596503	4.93485	2.9830184	5.915933	5.7957993	5.2450852	2.6762474	1.1797715	1.15585	0.2747683	1.9484156	2.2718387	1.8424768	4.0182776	1.6592699	1.7830122	1.3753358
S0307	-4.6526194	-2.3888073	0.6697322	-2.8744018	2.1661844	2.6241589	3.6686628	4.2828507	-0.54350287	-1.9705809	-1.011869	0.41107997	-0.37563854	-1.8833722	5.7549	6.5416446	7.635688	6.099145	2.3499055	1.8294438	4.7942123
S0308	1.5495138	1.7756952	3.9931564	2.5114286	4.8577476	5.567351	4.337021	6.8519	3.5304	4.718455	5.010319	-0.34202728	1.03878	-1.0954009	2.4680214	3.0358117	3.3647943	2.552596	0.94763076	1.507907	1.3857782
S0309	3.9055479	3.1314726	4.3505077	4.107788	5.1323705	3.883923	2.8107657	6.2845416	4.7296634	4.5458384	2.857447	-0.2513827	2.0841975	-0.12584655	1.1559988	1.4265512	1.0292072	4.5032816	1.235117	2.5789504	1.330254
S0310	3.7252645	2.89306	1.894781	4.5147877	3.525053	4.5960155	1.8205525	2.9399354	5.3856015	3.517812	2.256713	2.8573985	1.2465147	1.5098842	2.119759	1.4589326	0.4698822	0.117292754	2.29914	0.66515654	0.43410623
S0311	3.8012924	1.5639725	1.7864949	3.9403856	3.0015407	5.4049277	2.838004	3.496253	4.6652575	4.861439	3.078349	1.5127727	0.73049074	0.63622034	2.180631	1.7348189	0.5974231	-0.6067168	1.7243958	0.27868152	-0.4249391
S0312	3.0549238	3.4261715	2.9933012	4.869777	4.2738743	4.2278047	3.0231557	4.314539	5.094082	3.0555878	3.6863265	3.6911557	2.7838023	1.9125063	3.7218442	2.649001	2.8579528	1.0165981	3.4440987	1.7953148	1.347647
S0313	5.5711718	5.1581874	1.8590434	5.0763664	-0.04737118	0.056022756	-1.2878146	-1.7205377	3.303231	1.3852166	1.6051148	7.6637383	5.652431	5.4614196	0.6596606	-2.2771268	-2.0249364	-2.6732557	2.3277178	1.2733705	2.1884933
S0314	-1.4382806	2.8881485	1.522806	0.38952887	-0.8739429	-2.6365051	0.012509244	0.91231424	-1.6407077	-3.5969284	-0.91510475	6.0556736	8.72319	5.1855254	2.2348359	2.5850558	3.4922895	7.6082597	4.573491	5.924902	5.0833282
S0315	4.5132694	2.3637233	2.7771356	4.8697047	6.5242834	6.3020363	3.8971171	5.7594895	6.927399	6.5183	3.3911822	1.0307622	1.4073635	-0.010289759	2.4204009	2.9258747	1.8473624	2.2410798	2.5193717	1.200634	1.2817595
S0316	3.51414	3.745576	4.1412673	4.332928	2.9749897	2.1399508	1.1562605	2.6907988	3.5805786	3.5076466	2.6453352	3.4818401	4.164641	2.4627516	1.860079	0.49209827	0.9039068	2.059203	2.3893714	2.8698828	2.6407297
S0317	-0.13254592	0.15919802	4.6055818	0.679498	6.6017985	6.655817	5.7664785	8.662562	3.9110825	5.393907	3.8321855	-3.039599	-3.3000524	-3.700838	2.6497738	3.9216795	3.909838	4.4066925	-1.001488	-0.041702908	1.0199356
S0318	-0.7022011	1.2110926	2.019528	1.0725659	2.6474042	1.8875507	1.6551517	2.9458504	1.6354601	0.26536548	0.6942121	6.167852	4.530852	2.4196327	6.0299463	4.709052	6.3619156	5.9038596	4.881617	3.3531396	6.38635
S0319	3.6251814	3.077502	0.42884326	3.9453406	0.27092838	1.1868466	-0.78997135	-0.646109	2.6666331	1.9734343	1.5697898	3.6336198	2.6186879	3.2997923	0.21086231	-1.2099214	-1.4672576	-1.5988364	0.7476867	1.1781452	-0.199001
S0320	2.4650931	3.219616	1.4230332	2.9609625	0.06504486	1.1803447	-0.94299537	-0.030032387	2.0474796	1.666327	2.5904925	4.7855635	3.217338	2.7115796	1.3460891	-0.040855728	0.24472587	-1.0949452	1.0419691	0.7351573	1.2645328
S0321	3.0561984	2.167565	2.7085085	3.1383553	3.491125	4.4383817	2.516046	3.5133998	3.6957533	4.064062	3.3953373	3.0717676	1.7602695	1.1075816	3.7561476	2.552123	2.5719025	1.1784962	3.4313915	1.5920621	2.3267965
S0322	3.6429675	2.3093514	3.763725	4.1630573	5.685172	4.102017	2.7037535	4.951218	5.229273	5.931396	3.797956	0.54243094	1.1699724	-0.16261032	1.6068448	1.878855	1.5418229	2.7746246	1.4531411	1.6408085	1.5431497
