plate_v4_arm	candidate_success_rate	unlock_probability	threshold_successes	n_candidates	endpoint
A_clean_discovery	1.0	1.0	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
C_label_rescue	0.0	0.0	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.01	0.03940399	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.02	0.07763184	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.03	0.11470719	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.04	0.15065343999999997	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.05	0.18549374999999999	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.06	0.21925103999999995	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.07	0.25194799	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.08	0.28360704000000003	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.09	0.31425039000000005	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.1	0.34390000000000004	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.11	0.37257759000000007	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.12	0.40030464	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.13	0.42710238999999994	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.14	0.45299184000000003	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.15	0.47799374999999994	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.16	0.5021286399999999	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.17	0.52541679	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.18	0.5478782400000001	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.19	0.5695327900000001	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.2	0.5904000000000003	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.21	0.61049919	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.22	0.6298494400000001	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.23	0.64846959	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.24	0.66637824	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.25	0.68359375	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.26	0.70013424	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.27	0.71601759	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.28	0.73126144	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.29	0.7458831899999998	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.3	0.7598999999999999	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.31	0.7733287899999999	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.32	0.7861862399999999	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.33	0.7984887899999998	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.34	0.81025264	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.35000000000000003	0.8214937499999999	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.36	0.83222784	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.37	0.84247039	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.38	0.8522366400000001	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.39	0.8615415900000001	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.4	0.8704000000000001	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.41000000000000003	0.87882639	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.42	0.8868350400000001	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.43	0.8944399900000002	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.44	0.9016550400000002	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.45	0.9084937500000002	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.46	0.9149694400000001	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.47000000000000003	0.9210951900000002	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.48	0.92688384	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.49	0.9323479899999999	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.5	0.9375	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.51	0.9423519899999999	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.52	0.9469158400000001	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.53	0.95120319	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.54	0.95522544	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.55	0.9589937500000001	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.56	0.96251904	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.5700000000000001	0.9658119900000001	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.58	0.9688830399999999	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.59	0.97174239	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.6	0.9744	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.61	0.97686559	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.62	0.97914864	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.63	0.98125839	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.64	0.98320384	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.65	0.98499375	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.66	0.98663664	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.67	0.98814079	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.68	0.98951424	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.6900000000000001	0.9907647900000001	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.7000000000000001	0.9919	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.71	0.9929271900000001	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.72	0.99385344	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.73	0.99468559	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.74	0.9954302399999999	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.75	0.99609375	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.76	0.9966822399999999	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.77	0.99720159	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.78	0.99765744	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.79	0.99805519	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.8	0.9984000000000001	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.81	0.9986967899999999	1	4	provenance_resolved_positive_binding_rescue
C_label_rescue	0.8200000000000001	0.99895024	1	4	provenance_resolved_positive_binding_rescue
