target	mode	n	pooled_rho	sample_centered_rho	sample_centered_p	median_sample_rho	samples_rho_gt_0_2	class
null_random_matched_197	raw_smoothed	15489	0.5627080807685746	0.5862592906811146	0.0	0.48155586251789056	4	random_matched
null_random_matched_198	raw_smoothed	15489	0.6661504460915807	0.605399109387834	0.0	0.5267032037414119	4	random_matched
null_random_matched_199	raw_smoothed	15489	0.4845369367474347	0.5361253509830184	0.0	0.43376988286109897	4	random_matched
null_random_matched_200	raw_smoothed	15489	0.5367632914645848	0.5890412114179597	0.0	0.5044674298641106	4	random_matched
null_random_matched_201	raw_smoothed	15489	0.5928308207618204	0.5547797418039463	0.0	0.4803578832682639	4	random_matched
null_random_matched_202	raw_smoothed	15489	0.5814775870945718	0.5342378931905584	0.0	0.419616426589121	4	random_matched
null_random_matched_203	raw_smoothed	15489	0.5479282086643755	0.508538557209174	0.0	0.42885777816452686	4	random_matched
null_random_matched_204	raw_smoothed	15489	0.38395325039653183	0.3631525402865115	0.0	0.18624695588418883	2	random_matched
null_random_matched_205	raw_smoothed	15489	0.5644041010988183	0.5486985768193473	0.0	0.44535848104866654	4	random_matched
null_random_matched_206	raw_smoothed	15489	0.5232064921280862	0.5087878424060028	0.0	0.3932143082184602	3	random_matched
null_random_matched_207	raw_smoothed	15489	0.41748894202875	0.4874691999222111	0.0	0.4381250826207608	3	random_matched
null_random_matched_208	raw_smoothed	15489	0.6317160498647785	0.6234096938679433	0.0	0.5012353573067475	4	random_matched
null_random_matched_209	raw_smoothed	15489	0.5181161195351678	0.5597961810636083	0.0	0.4919756659567923	4	random_matched
null_random_matched_210	raw_smoothed	15489	0.5994572948808901	0.5988600731518966	0.0	0.47435344456640444	4	random_matched
null_random_matched_211	raw_smoothed	15489	0.5830025805921983	0.5472111407675196	0.0	0.47305278164705833	4	random_matched
null_random_matched_212	raw_smoothed	15489	0.4202168331640075	0.48024407073385844	0.0	0.3905318906509344	3	random_matched
null_random_matched_213	raw_smoothed	15489	0.610507801448743	0.5791804870047177	0.0	0.48976722190628136	4	random_matched
null_random_matched_214	raw_smoothed	15489	0.4688711792313487	0.4740283449183666	0.0	0.3794467464437507	3	random_matched
null_random_matched_215	raw_smoothed	15489	0.565241229563023	0.42186238171796564	0.0	0.38582541209640825	4	random_matched
null_random_matched_216	raw_smoothed	15489	0.5718661395255882	0.5296571494892186	0.0	0.401979508165627	4	random_matched
null_random_matched_217	raw_smoothed	15489	0.5513258472333172	0.5414166147509123	0.0	0.44115797343170077	4	random_matched
null_random_matched_218	raw_smoothed	15489	0.6033645833093112	0.4984000833207951	0.0	0.4056743927798126	4	random_matched
null_random_matched_219	raw_smoothed	15489	0.632300230989475	0.558409894994802	0.0	0.4994484490729706	4	random_matched
null_random_matched_220	raw_smoothed	15489	0.6016773321594617	0.5642261183033496	0.0	0.500826267284836	4	random_matched
null_random_matched_221	raw_smoothed	15489	0.6065296104339283	0.5902076780616844	0.0	0.49419285502727384	4	random_matched
null_random_matched_222	raw_smoothed	15489	0.3410080736064025	0.3970194630160569	0.0	0.35346082667033984	3	random_matched
null_random_matched_223	raw_smoothed	15489	0.5623056601744694	0.5495886999660572	0.0	0.45345132644662944	3	random_matched
null_random_matched_224	raw_smoothed	15489	0.3799696797000405	0.3809313304293017	0.0	0.32375988562579494	3	random_matched
null_random_matched_225	raw_smoothed	15489	0.468697379798705	0.47313202929207926	0.0	0.3474740532381966	3	random_matched
null_random_matched_226	raw_smoothed	15489	0.6246721186382241	0.595147369945719	0.0	0.4789910681015458	4	random_matched
null_random_matched_227	raw_smoothed	15489	0.6099376936881166	0.5749979207283267	0.0	0.47609040804825614	4	random_matched
null_random_matched_228	raw_smoothed	15489	0.3856606389588368	0.41925933622914663	0.0	0.33832426056879905	3	random_matched
