cluster_1,,B cell,B cell,B cell,B cell,B cell,Fibroblast,Fibroblast,Fibroblast,Fibroblast,Fibroblast,Malignant cell,Malignant cell,Malignant cell,Malignant cell,Malignant cell,Myeloid cell,Myeloid cell,Myeloid cell,Myeloid cell,Myeloid cell,T cell,T cell,T cell,T cell,T cell
cluster_2,,B cell,Fibroblast,Malignant cell,Myeloid cell,T cell,B cell,Fibroblast,Malignant cell,Myeloid cell,T cell,B cell,Fibroblast,Malignant cell,Myeloid cell,T cell,B cell,Fibroblast,Malignant cell,Myeloid cell,T cell,B cell,Fibroblast,Malignant cell,Myeloid cell,T cell
MDK,TSPAN1,1.0,1.0,1.0,1.0,,1.0,0.998,0.028,0.91,,1.0,1.0,0.0,0.958,,0.788,0.796,0.278,0.752,,,,,,
CCL1,ACKR1,,,,,,,,,,,,,,,,,,,,,,,,,
IGF1,ITGA6,0.67,0.14,0.0,0.028,,0.98,0.822,0.07,0.056,,0.998,0.97,0.264,0.072,,0.386,0.142,0.06,0.034,,,,,,
CCL18,ACKR1,0.784,0.696,1.0,,,0.036,0.002,0.546,,,0.014,0.0,1.0,,,0.0,0.0,0.0,,,,,,,
CXCL3,ACKR1,,,,,,,,,,,,,,,,,,,,,,,,,
CXCL5,ACKR1,,,,,,,,,,,,,,,,0.002,0.0,0.018,,,,,,,
CXCL9,ACKR1,0.0,0.0,0.0,,,0.006,0.0,0.128,,,0.048,0.0,1.0,,,0.0,0.0,0.0,,,,,,,
CXCL10,ACKR1,0.0,0.0,0.0,,,,,,,,0.014,0.0,1.0,,,0.0,0.0,0.0,,,,,,,
CXCL13,ACKR1,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
CCL7,ACKR1,,,,,,,,,,,,,,,,,,,,,,,,,
SPP1,ITGB6,0.944,0.988,0.698,0.034,,0.442,0.718,0.022,0.004,,0.966,1.0,0.502,0.012,,0.0,0.0,0.0,0.0,,,,,,
ANGPTL4,CDH5,1.0,1.0,1.0,,,0.986,0.994,0.994,,,0.714,0.536,0.0,,,0.804,0.762,0.708,,,,,,,
ANGPTL4,CDH11,0.3,0.0,1.0,0.244,,0.01,0.0,1.0,0.094,,0.0,0.0,1.0,0.038,,0.146,0.0,0.898,0.146,,,,,,
SLC1A2,GRIA1,,,,,,,,,,,,,,,,,,,,,,,,,
SLC1A6,GRIA1,,,,,,,,,,,,,,,,,,,,,,,,,
APOE,TYROBP,1.0,1.0,1.0,0.006,,0.0,0.004,1.0,0.0,,0.0,0.0,0.02,0.0,,0.0,0.0,0.026,0.0,,1.0,1.0,1.0,0.962,
CCL20,ACKR4,,,,,,,,,,,,,,,,,,,,,,,,,
FAM3D,FPR2,,,,,,,,,,,,,,,,,,,,,,,,,
HLA-G,KLRD1,0.918,,,0.448,0.002,,,,,,0.078,,,0.074,0.0,,,,,,,,,,
FGFR4,MCAM,,,,,,,,,,,,,,,,,,,,,,,,,
LAIR2,FGFR4,,,,,,,,,,,,,,,,,,,,,,,,,
IL2,DLK1,,,,,,,,,,,,,,,,,,,,,,,,,
TNFSF9,FCRL1,,,,,,,,,,,,,,,,,,,,,,,,,
DCN,LRP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046,0.0,1.0,0.052,0.146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.004
IFNG,MPL,,,,,,,,,,,,,,,,,,,,,,,,,
TPO,MPL,,,,,,,,,,,,,,,,,,,,,,,,,
HAPLN1,IL1RL1,,,,,,,,,,,,,,,,,,,,,,,,,
SEMA3G,FCGR2A,0.0,0.0,0.982,0.0,0.048,,,,,,0.0,0.0,1.0,0.0,0.05,,,,,,,,,,
VCAM1,VCAM1,0.164,0.0,0.388,0.026,,0.0,0.0,0.0,0.0,,0.388,0.0,1.0,0.042,,0.026,0.0,0.042,0.036,,,,,,
CCL5,ACKR4,,,,,,,,,,,,,,,,,,,,,,,,,
FLT4,FCRL1,,,,,,,,,,,,,,,,,,,,,,,,,
CRLF1,LIFR,0.988,1.0,0.984,,,0.012,0.052,0.0,,,0.8,1.0,0.494,,,0.506,0.662,0.396,,,,,,,
PCSK9,CD36,,,,,,,,,,,,,,,,,,,,,,,,,
THBS1,GP9,,,,,,,,,,,,,,,,,,,,,,,,,
EFNB2,FCRL1,,,,,,,,,,,,,,,,,,,,,,,,,
VCAN,LDLR,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,1.0,,0.008,0.008,0.006,0.006,,0.02,0.018,0.018,0.02,
CEACAM5,CEACAM6,,,,,,,,,,,,,,,,,,,,,,,,,
CEACAM6,CEACAM5,,,,,,,,,,,,,,,,,,,,,,,,,
CCN1,ITGA6,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,0.132,,0.422,0.324,0.246,0.094,,0.002,0.002,0.002,0.0,
CCL3L1,CCR4,,,,,,,,,,,,,,,,,,,,,,,,,
CTSG,CXCL12,,,,,,,,,,,,,,,,,,,,,,,,,
KDR,FLT1,1.0,1.0,0.89,0.924,,1.0,1.0,0.836,0.9,,1.0,1.0,0.0,0.808,,,,,,,,,,,
KDR,CDH5,0.95,0.96,0.94,,,0.936,0.928,0.922,,,0.78,0.668,0.002,,,,,,,,,,,,
CXCL8,MMP9,,,,,,,,,,,0.206,0.144,1.0,0.0,,0.022,0.018,0.03,0.0,,,,,,
