depmap_id	cell_line	v14_prediction	mutation_label	compound	broad_id	dose_uM	moa	phase	logfold_change
ACH-000716	TT2609-C02	BRAF_like	RAS	pomalidomide	BRD-A12994259-001-02-1	2.5	angiogenesis inhibitor, tumor necrosis factor production inhibitor	Launched	-0.0362729853633
ACH-000716	TT2609-C02	BRAF_like	RAS	lenalidomide	BRD-A17883755-001-06-1	2.5	anticancer agent	Launched	0.404231783956
ACH-000716	TT2609-C02	BRAF_like	RAS	thalidomide	BRD-A93255169-001-28-3	2.5	tumor necrosis factor production inhibitor	Launched	-0.00429451443542
ACH-000716	TT2609-C02	BRAF_like	RAS	luteolin	BRD-K05236810-001-19-0	2.5	glucosidase inhibitor	Phase 2	0.406692947005
ACH-000716	TT2609-C02	BRAF_like	RAS	nafamostat	BRD-K06674495-334-03-2	2.5	serine protease inhibitor	Launched	0.362969067095
ACH-000716	TT2609-C02	BRAF_like	RAS	irinotecan	BRD-K08547377-394-03-5	2.5	topoisomerase inhibitor	Launched	-3.05328229617
ACH-000716	TT2609-C02	BRAF_like	RAS	kaempferol	BRD-K12807006-001-18-5	2.5	bone resorption inhibitor, estrogen-related receptor inverse agonist	Preclinical	0.131305498608
ACH-000716	TT2609-C02	BRAF_like	RAS	diazepam	BRD-K16508793-001-05-9	2.5	benzodiazepine receptor agonist	Launched	0.587458575961
ACH-000716	TT2609-C02	BRAF_like	RAS	simvastatin	BRD-K22134346-001-22-3	2.5	HMGCR inhibitor	Launched	0.593190627405
ACH-000716	TT2609-C02	BRAF_like	RAS	simvastatin	BRD-K22134346-001-24-9	2.42	HMGCR inhibitor	Launched	-0.0484867535773
ACH-000716	TT2609-C02	BRAF_like	RAS	clonazepam	BRD-K38183498-001-02-0	2.5	GABA benzodiazepine site receptor agonist	Launched	-0.128402294764
ACH-000716	TT2609-C02	BRAF_like	RAS	ezetimibe	BRD-K42260897-001-07-6	2.48	cholesterol inhibitor, Niemann-Pick C1-like 1 protein antagonist	Launched	-0.12656797864
ACH-000716	TT2609-C02	BRAF_like	RAS	ezetimibe	BRD-K42260897-001-09-2	2.5	cholesterol inhibitor, Niemann-Pick C1-like 1 protein antagonist	Launched	-0.120816104775
ACH-000716	TT2609-C02	BRAF_like	RAS	zolpidem	BRD-K44876623-001-03-7	2.5	benzodiazepine receptor agonist	Launched	-0.0315222476232
ACH-000716	TT2609-C02	BRAF_like	RAS	etomidate	BRD-K55055802-001-10-2	2.5	GABA receptor modulator	Launched	-0.34819510535
ACH-000716	TT2609-C02	BRAF_like	RAS	indomethacin	BRD-K57222227-001-30-1	2.5	cyclooxygenase inhibitor	Launched	-0.0646130662843
ACH-000716	TT2609-C02	BRAF_like	RAS	atorvastatin	BRD-K69726342-238-02-4	2.5	HMGCR inhibitor	Launched	0.474551449282
ACH-000716	TT2609-C02	BRAF_like	RAS	baicalein	BRD-K72327355-001-14-7	2.5	lipoxygenase inhibitor	Preclinical	0.620761972644
ACH-000716	TT2609-C02	BRAF_like	RAS	propofol	BRD-K82255054-001-15-9	2.5	benzodiazepine receptor agonist	Launched	-0.184323418526
ACH-000716	TT2609-C02	BRAF_like	RAS	rosuvastatin	BRD-K82941592-238-04-5	2.5	HMGCR inhibitor	Launched	-0.0376889639971
ACH-000716	TT2609-C02	BRAF_like	RAS	quercetin	BRD-K97399794-001-15-3	2.5	polar auxin transport inhibitor	Launched	0.0697678384691
