gene	beta_subtype	pvalue_OLS	pvalue_LMM	fdr_OLS	fdr_LMM	status
PIP5K1B	0.210349	0.227408	0.0134871	0.280517	0.0228162	gained_with_LMM
PIP5K1C	-0.0823802	0.0858087	0.0118395	0.119764	0.0202276	gained_with_LMM
PIPOX	0.120602	0.602467	0.000824495	0.653714	0.00169355	gained_with_LMM
PIR	-0.939867	2.96255e-24	2.64807e-33	1.18806e-22	6.6974e-32	same
PITPNA	0.0759765	0.00485865	0.0308011	0.0114018	0.0487472	same
PITPNB	0.171967	4.27189e-05	8.52512e-07	0.000168204	2.55448e-06	same
PITPNC1	-0.523611	3.34763e-05	2.18597e-10	0.000134711	9.48065e-10	same
PITPNM1	0.268315	2.49739e-05	9.95764e-08	0.00010272	3.31544e-07	same
PITPNM3	0.0305987	0.0416537	0.702489	0.0641795	0.7549	nonsig_both
PITRM1	-0.00805054	0.0278856	0.804442	0.0454918	0.841749	lost_with_LMM
PITX1	0.0221367	0.0384838	0.236394	0.0599262	0.301938	nonsig_both
PITX2	0.0627836	0.128904	0.0501479	0.170548	0.0756547	nonsig_both
PITX3	0.257094	0.32815	1.34553e-09	0.387363	5.41823e-09	gained_with_LMM
PIWIL1	-2.65084	2.8038e-35	6.16943e-44	2.855e-33	2.88976e-42	same
PIWIL2	-0.443742	7.83605e-13	4.94238e-19	8.79772e-12	4.48298e-18	same
PJA1	0.16744	0.000659635	0.0117383	0.00199183	0.0200665	same
PJA2	0.040157	0.0139889	0.524396	0.0270134	0.595142	lost_with_LMM
PKD1P1	-0.00120666	0.0170398	0.906689	0.0309934	0.926908	lost_with_LMM
PKD2	0.13888	0.00141543	0.0334781	0.00388712	0.0525719	lost_with_LMM
PKD2L1	0.0597087	0.133164	0.245369	0.175385	0.311679	nonsig_both
PKD2L2	-0.0219723	0.00881997	0.178235	0.0188024	0.235197	lost_with_LMM
PKDREJ	-0.0329013	0.00690579	0.18911	0.0153827	0.247899	lost_with_LMM
PKIA	-0.2583	0.627436	0.0496575	0.677143	0.0750309	nonsig_both
PKIG	-0.289314	0.761409	5.15791e-09	0.797576	1.96676e-08	gained_with_LMM
PKLR	-0.0061113	0.014311	0.444773	0.0274361	0.518651	lost_with_LMM
PKM	0.70393	6.33872e-07	2.74492e-48	3.41428e-06	1.63995e-46	same
PKMYT1	0.303027	0.0294871	1.40544e-06	0.0477057	4.10519e-06	same
PKN1	0.134529	0.00218915	0.00438055	0.00570299	0.00805405	same
PKN2	-0.0806421	0.129459	0.14836	0.17116	0.200218	nonsig_both
PKNOX1	0.0928498	0.00427867	0.111946	0.0102335	0.155798	lost_with_LMM
PKNOX2	-1.54638	1.32894e-11	3.59078e-12	1.28931e-10	1.83296e-11	same
PKP1	1.19883	3.4899e-19	3.44979e-23	7.98178e-18	4.20365e-22	same
PKP2	1.6184	2.10442e-34	5.75419e-41	1.98732e-32	2.30759e-39	same
PKP3	0.291773	4.66144e-05	0.000642437	0.000181891	0.00134482	same
PKP4	0.416457	8.30734e-06	4.81842e-13	3.72716e-05	2.66401e-12	same
PLA1A	0.404846	0.000135823	5.7417e-06	0.000477912	1.57681e-05	same
PLA2G12A	-0.153664	0.466067	0.000195968	0.524824	0.000439446	gained_with_LMM
PLA2G15	0.0852067	0.00211352	0.0443714	0.00553489	0.0678935	lost_with_LMM
PLA2G1B	0.00885275	0.0252215	0.631225	0.0417319	0.692296	lost_with_LMM
PLA2G2A	0.434249	0.170592	0.0316552	0.218297	0.0499908	gained_with_LMM
PLA2G2D	0.445348	0.0209741	0.00114999	0.0360126	0.00231779	same
PLA2G2E	0.441449	0.00902635	1.42394e-13	0.0191587	8.26278e-13	same
PLA2G2F	0.0257736	0.0350096	0.00166087	0.0552212	0.00326926	gained_with_LMM
PLA2G3	-0.708754	1.44902e-16	7.73649e-19	2.50635e-15	6.86894e-18	same
PLA2G4A	0.826942	6.73054e-20	8.95718e-26	1.64884e-18	1.29813e-24	same
PLA2G4C	-0.411889	4.13297e-05	5.37727e-06	0.000163008	1.48299e-05	same
PLA2G5	0.432758	0.00678328	0.000178023	0.0151502	0.000401822	same
PLA2G6	-0.206381	0.576826	0.0407201	0.629861	0.0628014	nonsig_both
PLA2G7	0.466898	2.36812e-05	0.000111281	9.78154e-05	0.00025809	same
PLA2R1	-0.608761	0.0359133	0.000269379	0.0564186	0.000592827	gained_with_LMM
PLAA	0.0105667	0.0188371	0.763552	0.0333369	0.807478	lost_with_LMM
PLAC1	-0.0924078	0.00117958	3.81094e-10	0.00331882	1.62159e-09	same
