split_name	fold_id	fusion_method	anchor_method	qk_method	anchor_weight	qk_weight	inner_AUPRC	inner_n	selection_status
repeated_stratified_5x5_internal	rs_10	nested_lr_qk_quantum_only_train_selected	anchor_lr	qk_quantum_only	0.5	0.5	0.5047659677227618	355	inner_oof_selected
repeated_stratified_5x5_internal	rs_10	rule_gate_rf_qk_fallback_train_selected	anchor_rf	qk_quantum_only	0.75	0.25	0.5129245224703864	355	inner_oof_selected;split_rule
repeated_stratified_5x5_internal	rs_11	nested_rf_qk_no_anchor_train_selected	anchor_rf	qk_no_anchor	0.75	0.25	0.4753508626067525	355	inner_oof_selected
repeated_stratified_5x5_internal	rs_11	nested_rf_qk_quantum_only_train_selected	anchor_rf	qk_quantum_only	0.75	0.25	0.5087344764402895	355	inner_oof_selected
repeated_stratified_5x5_internal	rs_11	nested_lr_qk_no_anchor_train_selected	anchor_lr	qk_no_anchor	0.5	0.5	0.47693192802482914	355	inner_oof_selected
repeated_stratified_5x5_internal	rs_11	nested_lr_qk_quantum_only_train_selected	anchor_lr	qk_quantum_only	0.5	0.5	0.5246237810984472	355	inner_oof_selected
repeated_stratified_5x5_internal	rs_11	rule_gate_rf_qk_fallback_train_selected	anchor_rf	qk_quantum_only	0.75	0.25	0.5087344764402895	355	inner_oof_selected;split_rule
repeated_stratified_5x5_internal	rs_12	nested_rf_qk_no_anchor_train_selected	anchor_rf	qk_no_anchor	0.5	0.5	0.5593329034970396	355	inner_oof_selected
repeated_stratified_5x5_internal	rs_12	nested_rf_qk_quantum_only_train_selected	anchor_rf	qk_quantum_only	0.75	0.25	0.5584731601967093	355	inner_oof_selected
repeated_stratified_5x5_internal	rs_12	nested_lr_qk_no_anchor_train_selected	anchor_lr	qk_no_anchor	0.25	0.75	0.5364083346742319	355	inner_oof_selected
repeated_stratified_5x5_internal	rs_12	nested_lr_qk_quantum_only_train_selected	anchor_lr	qk_quantum_only	0.25	0.75	0.5224814762883069	355	inner_oof_selected
