gene	log2FC_B_vs_A	cohen_d_B_vs_A	p_value	padj
RPSAP24	0.005378986310936066	0.5186928328401179	0.009400059528471857	0.05328727014654771
AL121895.2	0.1045035716943842	0.529900944290291	0.009405959691135677	0.053314872474878545
MTCYBP19	0.01020879515073951	0.5476330057246016	0.00940716996954598	0.05331588845848226
THCAT158	-0.41052972383708886	-0.4620163096406847	0.009412852172954723	0.053340834213477926
CDC37L1	-0.15667731573581722	-0.45216828420939875	0.009413634488449257	0.053340834213477926
MIR7856	-0.028529826323028674	-0.4598506163386513	0.009421657394758741	0.05338044544103969
AL450345.2	-0.17866305715792563	-0.3763088328494371	0.009424922227769191	0.053393093045592976
AC068025.1	0.058382772050298376	0.5008550590086094	0.00942694723500542	0.05339871491613159
AL772363.1	-0.005874035212715991	-0.38545906800267815	0.009429991377273518	0.05341010778862989
JARID2	-0.21203721732285885	-0.4737503484180186	0.00944018596571349	0.05346199282367871
OSBPL11	0.2445578109837534	0.47263176656404654	0.009443309806519164	0.053470249136111266
AC243732.1	-0.041539505261997456	-0.4396855316336718	0.00944371188644784	0.053470249136111266
MAP3K9	-0.23446574690976885	-0.4710277726960835	0.009445689941058589	0.05347559366565368
KHK	0.32939996068730726	0.5146231650166752	0.00945299741593764	0.05351110556929954
PLCG2	0.3162830728976376	0.485091101287808	0.009458246201570127	0.05352907799683987
MIR4714	-0.004013749391116299	-0.3872932722420854	0.009459088909060807	0.05352907799683987
AMT	-0.0862147641510429	-0.4526827149277161	0.009459277808108965	0.05352907799683987
GTPBP10	0.16398022728898098	0.46062982503373595	0.009462074733165857	0.05353904656163033
AC090826.1	0.018855233674492614	0.5165846156403654	0.009463853664650138	0.05354325348498067
SCNN1B	0.7301434302770922	0.5042251040601738	0.009466057319214087	0.05354986216320749
ZNF56	-0.14129710002978024	-0.47587274781462674	0.009469801886330613	0.05356518544564016
TMEM88B	-0.016890616222640226	-0.3974946935555867	0.00947247867365456	0.053574466224800506
AL513190.1	-0.10956795153911936	-0.4513638411340862	0.009475844168818354	0.05358271733817156
RTCA-AS1	-0.21379394238866256	-0.46481483450568783	0.009477617578267549	0.05358271733817156
TWF2	-0.26705168628752407	-0.46912182005898545	0.009477801895511003	0.05358271733817156
VTI1BP1	0.020653191117946515	0.47680001005529954	0.009478082332429373	0.05358271733817156
STK31	-0.10985502865367577	-0.4272152409335472	0.009479312255666856	0.05358381242378539
SH2B3	0.25831369772585155	0.46940469512447724	0.009490162794680984	0.05363928388629887
GINM1	-0.20863215332350737	-0.4656198893906036	0.009493413950152416	0.05365179549468105
COX7C	0.2423214145189334	0.46826640144756726	0.009497978055396802	0.05367172366108885
RASSF10-DT	0.0606253102934777	0.4329451365176624	0.00950128292738865	0.053681929577827824
AC133540.1	0.09263561471753551	0.48525772579943055	0.009501860366766415	0.053681929577827824
RHBDF2	0.18723786886673377	0.4668404686313632	0.009514492890108578	0.053743361756034606
