claim,dedup_key,sources,n_sources,doi,title,year,venue,first_author,cited_by,influential,composite,topical_relevance,new_score
BRAF/RAS-negative ('dark matter') PTC subtypes,10.1007/s11033-020-05435-1,openalex,1,10.1007/s11033-020-05435-1,Role of PI3K/AKT pathway in cancer: the framework of malignant behavior,2020.0,,Jiang,570.0,0.0,620.0,0.0084470213005077,17.19209133970678
BRAF/RAS-negative ('dark matter') PTC subtypes,10.3390/cells8101118,openalex,1,10.3390/cells8101118,"The E-Cadherin and N-Cadherin Switch in Epithelial-to-Mesenchymal Transition: Signaling, Therapeutic Implications, and Challenges",2019.0,,Loh,1319.0,0.0,619.0,0.0,17.185387015580417
BRAF/RAS-negative ('dark matter') PTC subtypes,10.1158/1538-7445.am2025-lb414,semantic_scholar_influential,1,10.1158/1538-7445.am2025-lb414,"Abstract LB414: Characterization of the genomic landscape of BRAF-, RAS-, and fusion-negative thyroid carcinomas underscores the role of tumor suppressor genes",2025.0,Cancer Research,Vicente R. Marczyk,0.0,0.0,125.0,0.07103977611184173,17.103977611184174
BRAF/RAS-negative ('dark matter') PTC subtypes,10.1007/s12020-024-03911-3,semantic_scholar_influential,1,10.1007/s12020-024-03911-3,A computational approach to assessing the prognostic implications of BRAF and RAS mutations in patients with papillary thyroid carcinoma,2024.0,Endocrine,Tahereh Haghzad,0.0,0.0,124.0,0.0695565983163847,16.95565983163847
BRAF/RAS-negative ('dark matter') PTC subtypes,10.1038/s12276-020-00504-8,openalex,1,10.1038/s12276-020-00504-8,Glutamine reliance in cell metabolism,2020.0,,Yoo,961.0,0.0,620.0,0.0,16.869014450665706
BRAF/RAS-negative ('dark matter') PTC subtypes,10.1093/ajcp/aqaf121.206,semantic_scholar_influential,1,10.1093/ajcp/aqaf121.206,"162 Non-Invasive Follicular Thyroid Neoplasm with Papillary-Like Nuclear Features with BRAF Mutation (BRAF:pK601E, c.1801A>G)",2025.0,American Journal of Clinical Pathology,Bhanupriya Kakarala,0.0,0.0,125.0,0.06677105486454189,16.677105486454188
BRAF/RAS-negative ('dark matter') PTC subtypes,10.3390/cancers12071973,semantic_scholar_influential,1,10.3390/cancers12071973,Characterization of Driver Mutations in Anaplastic Thyroid Carcinoma Identifies RAS and PIK3CA Mutations as Negative Survival Predictors,2020.0,Cancers,Wei-An Lai,0.0,0.0,120.0,0.06596074993525608,16.596074993525608
BRAF/RAS-negative ('dark matter') PTC subtypes,10.1530/erc-23-0117,openalex,1,10.1530/erc-23-0117,RET fusion genes in pediatric and adult thyroid carcinomas: cohort characteristics and prognosis,2023.0,,Pekova,20.0,0.0,143.0,0.03293901185854861,16.338423623578283
BRAF/RAS-negative ('dark matter') PTC subtypes,10.1186/s12943-018-0796-y,openalex,1,10.1186/s12943-018-0796-y,Function of the c-Met receptor tyrosine kinase in carcinogenesis and associated therapeutic opportunities,2018.0,,Zhang,559.0,0.0,618.0,0.0,16.327936783729193
BRAF/RAS-negative ('dark matter') PTC subtypes,10.3389/fendo.2026.1737469,europepmc_fulltext,1,10.3389/fendo.2026.1737469,Leveraging the transcriptome-phenotype relationship to guide clinical management of papillary thyroid cancer.,2026.0,,,0.0,0.0,126.0,0.05623655152223081,15.62365515222308
