gsm	unsup	panel_z	histology	unsup_t
GSM6591271	DM2	0.2624231871977571	PTC	DM2
GSM6591272	DM2	-0.06382217588609372	PTC	DM2
GSM6591273	DM2	0.005280707409980505	PTC	DM2
GSM6591274	DM2	-0.3667137410147574	PTC	DM2
GSM6591275	DM2	-0.480100682510336	PTC	DM2
GSM6591276	DM2	0.06213075738793683	PTC	DM2
GSM6591277	DM2	-0.5116972380559277	PTC	DM2
GSM6591278	DM2	-0.7652878551759815	PTC	DM2
GSM6591279	DM2	-0.18396798880366028	PTC	DM2
GSM6591280	DM2	-0.12379309061035167	PTC	DM2
GSM6591281	DM2	-0.19248304178800954	PTC	DM2
GSM6591282	DM2	-0.003075278189530874	PTC	DM2
GSM6591283	DM2	-1.0312367820046355	PTC	DM2
GSM6591284	DM2	-0.45838274997587797	PTC	DM2
GSM6591285	DM2	0.1360668211740905	PTC	DM2
GSM6591286	DM2	-0.23691869676412153	PTC	DM2
GSM6591287	DM2	-0.214929452184492	PTC	DM2
GSM6591288	DM2	0.3039047180319149	PTC	DM2
GSM6591289	DM2	0.10206951007824847	PTC	DM2
GSM6591290	DM2	-0.38959587733796386	PTC	DM2
GSM6591291	DM2	-0.04993896132171168	PTC	DM2
GSM6591292	DM2	-0.1208542829521005	PTC	DM2
GSM6591293	DM2	-0.09558108660397334	PTC	DM2
GSM6591294	DM2	-0.28953176847612966	PTC	DM2
GSM6591295	DM2	-0.537996626379768	PTC	DM2
GSM6591296	DM2	-0.3110990719825904	PTC	DM2
GSM6591297	DM2	-0.8118884784103226	PTC	DM2
GSM6591298	DM2	-0.7807101667051957	PTC	DM2
GSM6591299	DM2	0.8032511554354562	PTC	DM2
GSM6591300	DM2	-0.1740325198656645	PTC	DM2
GSM6591301	DM2	0.10010379923352597	PTC	DM2
GSM6591302	DM2	0.7828613269965363	PTC	DM2
GSM6591303	DM2	0.15708708013066658	PTC	DM2
GSM6591304	DM1	-2.4916364265126414	PTC	DM1
GSM6591305	DM2	0.5689923818731156	PTC	DM2
GSM6591306	DM2	-0.861933009101034	PTC	DM2
GSM6591307	DM2	-0.3283455772424274	PTC	DM2
GSM6591308	DM2	0.6705982611025877	PTC	DM2
GSM6591309	DM2	-0.6476389202127715	PTC	DM2
GSM6591310	DM2	-0.7830065313393089	PTC	DM2
GSM6591311	DM1	-3.973338758973973	PTC	DM1
GSM6591312	DM1	-4.608358584919442	PTC	DM1
GSM6591313	DM2	-1.5333075223967987	PTC	DM2
GSM6591314	DM2	0.2032622451380153	PTC	DM2
GSM6591315	DM2	0.9031812499284365	PTC	DM2
GSM6591316	DM2	-0.15295926527449583	PTC	DM2
GSM6591317	DM2	0.727656611867772	PTC	DM2
GSM6591318	DM2	-0.35632526647527357	PTC	DM2
GSM6591319	DM2	-0.11476446063089478	PTC	DM2
GSM6591320	DM2	0.30443484160473394	PTC	DM2
GSM6591321	DM2	-0.5820980385604491	PTC	DM2
GSM6591322	DM2	-1.3096437034778208	UTC/ATC	DM2
GSM6591323	DM2	0.06932534406508443	UTC/ATC	DM2
GSM6591324	DM2	-1.5945920784875174	UTC/ATC	DM2
GSM6591325	DM2	-1.3526045542609981	UTC/ATC	DM2
GSM6591326	DM2	-0.888819026314782	UTC/ATC	DM2
GSM6591327	DM1	-2.7166246240766645	UTC/ATC	DM1
GSM6591328	DM1	-3.3746371808614417	UTC/ATC	DM1
GSM6591329	DM1	-3.3966852004081214	UTC/ATC	DM1
GSM6591330	DM2	-0.1673008599715796	PTC	DM2
GSM6591331	DM2	-0.5918116129527476	PTC	DM2
GSM6591332	DM2	0.04658132909325076	PTC	DM2
GSM6591333	DM2	-0.14242666475911722	PTC	DM2
GSM6591334	DM2	0.340887835009334	PTC	DM2
GSM6591335	DM2	0.40074290478894764	PTC	DM2
GSM6591336	DM2	0.17509317620473033	PTC	DM2
GSM6591337	DM2	0.2956856502149634	PTC	DM2
GSM6591338	DM2	0.4669275932461017	PTC	DM2
GSM6591339	DM2	-0.18205925400338446	PTC	DM2
GSM6591340	DM2	-0.21483213857537045	PTC	DM2
GSM6591341	DM2	-0.6003426328686731	PTC	DM2
GSM6591342	DM2	0.15912985854839684	PTC	DM2
GSM6591343	DM2	-0.5690269213924782	PTC	DM2
GSM6591344	DM2	0.28035740169866	PTC	DM2
GSM6591345	DM2	0.24260528106462517	PTC	DM2
GSM6591346	DM2	-0.8141561526905691	PTC	DM2
GSM6591347	DM2	-0.5967870202014496	PTC	DM2
GSM6591348	DM2	-0.18521554936066667	PTC	DM2
GSM6591349	DM2	-0.060476559443673125	PTC	DM2
GSM6591350	DM2	0.044272411938511405	PTC	DM2
GSM6591351	DM2	0.04238147585860267	PTC	DM2
GSM6591352	DM2	0.5423900646173453	PTC	DM2
GSM6591353	DM2	0.18382755791773162	PTC	DM2
GSM6591354	DM2	-0.48271639132672384	PTC	DM2
GSM6591355	DM2	-0.29226733634615404	PTC	DM2
GSM6591356	DM2	0.11264502497396138	PTC	DM2
GSM6591357	DM2	0.5126221180432834	PDFP	DM2
GSM6591358	DM2	-0.6830437886652329	PDFP	DM2
GSM6591359	DM2	-1.1273530819171829	PDFP	DM2
GSM6591360	DM2	-0.3140994891749485	PDFP	DM2
GSM6591361	DM2	-0.42723435220886874	PDFP	DM2
GSM6591362	DM2	-0.7270863853883426	PDFP	DM2
GSM6591363	DM2	-0.3368992689501547	PDFP	DM2
GSM6591364	DM1	-2.1438179041066685	PDFP	DM1
GSM6591365	DM2	-0.0466030055887008	PDFP	DM2
