territory_label_set	covariate_set	outcome	scope	n_slides	median_beta	mean_beta	q25_beta	q75_beta	n_positive	sign_test_p	wilcoxon_p
gene_bin_infercnv_lite	qc_composition	Macrophage_TAM_z	condition_ATC	4	0.06492965772281314	0.28319910701929113	0.029249114713063167	0.3188796500290411	3	0.625	0.25
gene_bin_infercnv_lite	qc_composition	Macrophage_TAM_z	condition_LPTC	4	0.10891184853413667	0.1022774546445823	0.04824012159300285	0.16294918158571609	3	0.625	0.625
gene_bin_infercnv_lite	qc_composition	Macrophage_TAM_z	condition_PTC	4	0.17224024135568367	0.1949120978835717	0.07026411279052468	0.2968882264487307	4	0.125	0.125
gene_bin_infercnv_lite	qc_composition	RAI_thyroid_z	all_cancer_slides	12	-0.004456511326507874	-0.0362037841020072	-0.03267667677771248	0.02218309776886288	5	0.7744140625	0.5185546875
gene_bin_infercnv_lite	qc_composition	RAI_thyroid_z	condition_ATC	4	-0.0014539337137843208	-0.11405696453967355	-0.1166878764671962	0.0011769782137383293	2	1.0	0.625
gene_bin_infercnv_lite	qc_composition	RAI_thyroid_z	condition_LPTC	4	0.03378244135981272	0.04322288626078433	-0.020314842040323616	0.09732016966092066	2	1.0	0.625
gene_bin_infercnv_lite	qc_composition	RAI_thyroid_z	condition_PTC	4	-0.028345983155839173	-0.037777274027132365	-0.08204673927108341	0.015923482088111864	1	0.625	0.625
gene_bin_infercnv_lite	qc_composition	TACSTD2_z	all_cancer_slides	12	0.03685757253417424	0.01838302257027991	-0.1497902345782089	0.1611092912092381	7	0.7744140625	0.67724609375
gene_bin_infercnv_lite	qc_composition	TACSTD2_z	condition_ATC	4	0.04250522944540764	0.05507988402273055	0.01272986665141358	0.08485524681672461	3	0.625	0.25
gene_bin_infercnv_lite	qc_composition	TACSTD2_z	condition_LPTC	4	-0.043015686867242345	0.0612075824852313	-0.152406865146544	0.17059876076453295	2	1.0	1.0
gene_bin_infercnv_lite	qc_composition	TACSTD2_z	condition_PTC	4	0.02158210968470234	-0.0611383987971221	-0.27014626258049446	0.23058997346807467	2	1.0	1.0
gene_bin_infercnv_lite	qc_composition	TLS_B_z	all_cancer_slides	12	0.07995613263290226	0.10417344834255347	0.03790920227656694	0.12940516567024657	10	0.03857421875	0.12939453125
gene_bin_infercnv_lite	qc_composition	TLS_B_z	condition_ATC	4	0.06981485109138669	0.14316929275843876	0.045748397147550135	0.1672357467022753	4	0.125	0.125
gene_bin_infercnv_lite	qc_composition	TLS_B_z	condition_LPTC	4	-0.11414898937490701	-0.09483695612437182	-0.2527276117545094	0.04374166625523057	2	1.0	0.625
gene_bin_infercnv_lite	qc_composition	TLS_B_z	condition_PTC	4	0.13628547106936456	0.26418800839359347	0.10582104221402466	0.2946524372489334	4	0.125	0.125
