threshold	prev	sens	spec	npv	ppv	unnecessary_surgery	missed_cancer	nb_model	nb_treat_all	nb_treat_none	tp	fp	tn	fn
0.35000000000000003	0.1	0.931	0.849	0.9910505836575876	0.40655021834061134	0.1359	0.0069	0.01992307692307692	-0.3846153846153847	0.0	931	1359	7641	69
0.36000000000000004	0.1	0.931	0.8501111111111112	0.991062176165803	0.4083333333333333	0.1349	0.0069	0.01721874999999999	-0.4062500000000001	0.0	931	1349	7651	69
0.37000000000000005	0.1	0.931	0.8507777777777777	0.9910691172663733	0.4094107299912049	0.1343	0.0069	0.014225396825396808	-0.4285714285714287	0.0	931	1343	7657	69
0.38000000000000006	0.1	0.931	0.8516666666666667	0.9910783553141971	0.41085613415710504	0.1335	0.0069	0.011277419354838683	-0.4516129032258067	0.0	931	1335	7665	69
0.39000000000000007	0.1	0.931	0.853	0.9910921766072812	0.41304347826086957	0.1323	0.0069	0.008514754098360625	-0.4754098360655741	0.0	931	1323	7677	69
0.4000000000000001	0.1	0.93	0.8537777777777777	0.9909724013412432	0.41406945681211044	0.1316	0.007	0.005266666666666628	-0.5000000000000003	0.0	930	1316	7684	70
0.4100000000000001	0.1	0.929	0.8547777777777777	0.9908552292632664	0.415474060822898	0.1307	0.0071	0.0020745762711863874	-0.5254237288135597	0.0	929	1307	7693	71
0.42000000000000004	0.1	0.928	0.8554444444444445	0.9907347831681894	0.41633019291161955	0.1301	0.0072	-0.0014103448275862296	-0.5517241379310346	0.0	928	1301	7699	72
0.43000000000000005	0.1	0.928	0.8562222222222222	0.9907431216250965	0.41764176417641763	0.1294	0.0072	-0.004817543859649137	-0.5789473684210528	0.0	928	1294	7706	72
0.44000000000000006	0.1	0.927	0.8567777777777777	0.9906217882836588	0.4183212996389892	0.1289	0.0073	-0.008578571428571435	-0.6071428571428573	0.0	927	1289	7711	73
0.45000000000000007	0.1	0.927	0.8578888888888889	0.9906338208878624	0.42021758839528556	0.1279	0.0073	-0.011945454545454592	-0.6363636363636367	0.0	927	1279	7721	73
0.4600000000000001	0.1	0.927	0.8585555555555555	0.9906410256410256	0.4213636363636364	0.1273	0.0073	-0.015740740740740763	-0.666666666666667	0.0	927	1273	7727	73
0.4700000000000001	0.1	0.926	0.8592222222222222	0.990521327014218	0.4222526219790242	0.1267	0.0074	-0.019756603773584944	-0.6981132075471701	0.0	926	1267	7733	74
0.4800000000000001	0.1	0.926	0.86	0.9905298182748912	0.42360475754803295	0.126	0.0074	-0.02370769230769236	-0.7307692307692312	0.0	926	1260	7740	74
0.49000000000000005	0.1	0.926	0.8604444444444445	0.9905346635968278	0.42438130155820347	0.1256	0.0074	-0.028074509803921566	-0.7647058823529412	0.0	926	1256	7744	74
0.5000000000000001	0.1	0.926	0.8611111111111112	0.9905419222903885	0.4255514705882353	0.125	0.0074	-0.032400000000000054	-0.8000000000000005	0.0	926	1250	7750	74
0.5100000000000001	0.1	0.926	0.8614444444444445	0.990545547463907	0.4261389783709158	0.1247	0.0074	-0.03718979591836742	-0.8367346938775515	0.0	926	1247	7753	74
0.5200000000000001	0.1	0.925	0.862	0.9904251244733818	0.42685740655283805	0.1242	0.0075	-0.04205000000000009	-0.8750000000000006	0.0	925	1242	7758	75
0.5300000000000001	0.1	0.925	0.8624444444444445	0.9904300114839862	0.42764678687008784	0.1238	0.0075	-0.047104255319149	-0.9148936170212773	0.0	925	1238	7762	75
0.5400000000000001	0.1	0.925	0.863	0.9904361132364193	0.42863762743280814	0.1233	0.0075	-0.05224347826086967	-0.9565217391304356	0.0	925	1233	7767	75
0.5500000000000002	0.1	0.925	0.8634444444444445	0.9904409890390008	0.42943361188486534	0.1229	0.0075	-0.05771111111111121	-1.0000000000000007	0.0	925	1229	7771	75
0.5600000000000002	0.1	0.925	0.8637777777777778	0.9904446426296344	0.4300325430032543	0.1226	0.0075	-0.06353636363636375	-1.045454545454546	0.0	925	1226	7774	75
0.5700000000000002	0.1	0.925	0.8644444444444445	0.9904519414385742	0.43123543123543123	0.122	0.0075	-0.06922093023255826	-1.0930232558139543	0.0	925	1220	7780	75
0.5800000000000002	0.1	0.925	0.8655555555555555	0.9904640813731723	0.4332552693208431	0.121	0.0075	-0.07459523809523821	-1.1428571428571437	0.0	925	1210	7790	75
0.5900000000000002	0.1	0.925	0.8661111111111112	0.9904701397712834	0.43427230046948356	0.1205	0.0075	-0.08090243902439037	-1.195121951219513	0.0	925	1205	7795	75
0.6000000000000002	0.1	0.925	0.8671111111111112	0.9904810255108516	0.4361150400754361	0.1196	0.0075	-0.08690000000000014	-1.250000000000001	0.0	925	1196	7804	75
0.6100000000000001	0.1	0.925	0.8675555555555555	0.9904858556387163	0.43693906471421823	0.1192	0.0075	-0.09394102564102572	-1.3076923076923082	0.0	925	1192	7808	75
0.6200000000000001	0.1	0.925	0.8683333333333333	0.9904942965779467	0.43838862559241704	0.1185	0.0075	-0.10084210526315796	-1.3684210526315794	0.0	925	1185	7815	75
0.6300000000000001	0.1	0.925	0.8688888888888889	0.9905003166561115	0.43942992874109266	0.118	0.0075	-0.108418918918919	-1.4324324324324331	0.0	925	1180	7820	75
