	SLC5A5	TPO	TG	TSHR	PAX8	FOXE1	DIO1	group
F33_131N|PDTC	0.5170577	0.5766009	0.5465681	0.4829588	0.8265288	0.7342779	0.006907142	PDTC
F1_128C|PTC	3.079361	1.3439532	1.46424	1.5407009	1.194099	1.1666321	0.006907142	PTC
F1_129C|PTC	0.2656423	0.5880429	0.4283716	0.9284301	0.9157446	1.0440872	0.006907142	PTC
F1_131N|PTC	0.6378518	0.8919439	0.863945	1.1375731	1.003461	1.4858975	0.006907142	PTC
F1_132N|PTC	0.8862958	1.7912597	2.2357012	1.5924985	1.478784	1.3385123	0.006907142	PTC
F1_133N|PTC	0.414442	0.8142135	0.6254475	1.6762945	1.239987	1.1496089	0.006907142	PTC
F2_128N|PTC	1.870262	1.7202952	1.9624254	2.0885707	1.213748	1.6044352	0.006907142	PTC
F2_128C|PTC	1.341904	1.2391528	1.5950473	1.4104866	1.228174	2.3800949	0.006907142	PTC
F2_129N|PTC	0.4603025	0.6521618	0.5449879	1.4147133	0.8714034	1.0219221	0.006907142	PTC
F2_129C|PTC	0.5478124	1.1856986	1.3624304	1.4012278	1.150698	1.1471053	0.006907142	PTC
F2_130N|PTC	0.2752379	0.5524041	0.4061741	1.2346823	0.8106004	0.8166687	0.006907142	PTC
F2_131N|PTC	1.376232	1.5879272	1.4547023	1.4162765	1.310342	1.3586385	0.006907142	PTC
F2_131C|PTC	0.7315196	0.6759205	1.0683867	1.3835259	1.267627	0.955759	0.006907142	PTC
F2_133N|PTC	0.2928563	0.6469098	0.6544898	0.8830087	1.224913	1.6639718	0.006907142	PTC
F2_133C|PTC	0.2856309	0.5519133	0.4074386	1.0274118	1.038325	1.2198375	0.006907142	PTC
F3_127N|PTC	1.434541	1.1229878	2.199659	1.1047245	1.505514	1.6085004	0.006907142	PTC
F3_128C|PTC	0.5518954	0.9680277	1.0252544	1.3992019	1.145886	1.46506	0.006907142	PTC
F3_129C|PTC	0.4267451	0.6561752	0.581421	1.3001192	0.9907605	0.8563474	0.006907142	PTC
F3_130N|PTC	0.6625465	0.8835992	1.0583091	0.8907825	1.258999	1.5681113	0.006907142	PTC
F3_131N|PTC	0.7037025	1.4992594	2.0363509	1.5310848	1.419132	1.8015425	0.006907142	PTC
F3_132C|PTC	0.6272673	0.9950878	1.288921	0.9819528	1.215319	1.7043089	0.006907142	PTC
F3_133N|PTC	0.5661517	1.0466922	1.0750564	1.4026204	1.540311	1.9742354	0.006907142	PTC
F4_128N|PTC	1.128847	0.9525502	1.4268641	1.5316434	1.308518	1.0160817	1.095713	PTC
F4_130N|PTC	1.032327	1.3008414	1.773242	1.3050887	1.046344	1.5165838	0.8672739	PTC
F4_130C|PTC	0.8454649	0.8443985	0.7298464	0.839772	1.166633	0.807062	0.7874918	PTC
F4_131N|PTC	1.218351	1.0339702	1.1609143	1.0738818	1.305745	0.9927364	1.062982	PTC
F4_131C|PTC	1.983298	1.1556184	2.1910627	1.4832803	1.484937	1.0651412	1.229404	PTC
F5_127N|PTC	0.006907142	0.6277985	0.5316417	0.7882186	1.002994	0.9815302	0.006907142	PTC
F5_129N|PTC	0.006907142	0.7642961	0.861107	1.0188095	1.129461	1.0312303	0.006907142	PTC
F5_131N|PTC	0.006907142	0.6967644	0.6156474	1.1851817	0.9836828	1.1336933	0.006907142	PTC
F5_132N|PTC	0.006907142	0.9002502	1.1697926	1.0489511	1.088832	1.1652574	0.006907142	PTC
