lineage	hallmark	n	n_genes	spearman_r	p	fdr
brain lower grade glioma	Apical Junction	542	194	0.5043355054416765	2.5958755901141218e-36	7.210765528094783e-36
brain lower grade glioma	UV Response Dn	542	137	0.46815141949511735	7.132418251242632e-31	1.87695217137964e-30
brain lower grade glioma	mTORC1 Signaling	542	192	0.46228404764848596	4.7379699378394275e-30	1.1844924844598568e-29
brain lower grade glioma	Protein Secretion	542	95	0.4547130653558523	5.169391805741069e-29	1.2308075727954927e-28
brain lower grade glioma	Mitotic Spindle	542	196	0.41929479013933335	1.725810993495226e-24	3.92229771248915e-24
brain lower grade glioma	Apical Surface	542	43	0.3959975932093443	8.569275515424863e-22	1.8628859816141005e-21
brain lower grade glioma	Glycolysis	542	196	0.3954879571344962	9.762766205027827e-22	2.033909626047464e-21
brain lower grade glioma	Estrogen Response Late	542	196	0.3817877757660058	2.9885236808237837e-20	5.977047361647567e-20
brain lower grade glioma	p53 Pathway	542	190	0.3761862256342499	1.156357040153754e-19	2.2237635387572196e-19
brain lower grade glioma	Notch Signaling	542	32	0.3697309860881486	5.324378691862153e-19	9.859960540485467e-19
brain lower grade glioma	Estrogen Response Early	542	192	0.35502389286518166	1.5217798824544646e-17	2.717464075811544e-17
brain lower grade glioma	Unfolded Protein Response	542	106	0.3465171457832382	9.785298342414181e-17	1.6871204038645138e-16
brain lower grade glioma	G2-M Checkpoint	542	184	0.33827878291639885	5.62495392313099e-16	9.374923205218316e-16
brain lower grade glioma	E2F Targets	542	187	0.27627434172666465	5.954631466068877e-11	9.604244300111092e-11
brain lower grade glioma	heme Metabolism	542	190	0.25803582171826717	1.0808853327487413e-09	1.6888833324199082e-09
brain lower grade glioma	Xenobiotic Metabolism	542	197	0.2576219779313712	1.1514564897921557e-09	1.74463104513963e-09
brain lower grade glioma	UV Response Up	542	152	0.23707758455563027	2.3172800794912715e-08	3.4077648227812816e-08
brain lower grade glioma	Oxidative Phosphorylation	542	182	-0.21465427557119923	4.5417048561772234e-07	6.48814979453889e-07
brain lower grade glioma	Reactive Oxygen Species Pathway	542	45	0.2102399167217573	7.869576759768631e-07	1.0929967721900878e-06
brain lower grade glioma	Wnt-beta Catenin Signaling	542	42	0.19889527600445014	3.064166128169547e-06	4.140765038066955e-06
