sample	lineage	DM1_portable	HLA1_module	HLA2_module
TCGA-AB-2935-03	acute myeloid leukemia	1.1562723537756474	0.025729910792930657	-0.09296361986068746
TCGA-AB-2936-03	acute myeloid leukemia	0.3310139817244397	0.06958714375923092	0.570604560897655
TCGA-AB-2937-03	acute myeloid leukemia	-1.564298137784941	0.703046375361807	1.3177572431496287
TCGA-AB-2938-03	acute myeloid leukemia	3.259005938439946	-0.07428794765095408	-0.30576504051742565
TCGA-AB-2939-03	acute myeloid leukemia	-1.0429755384255492	-0.9435227307928661	-0.61730550352578
TCGA-AB-2940-03	acute myeloid leukemia	0.0238833533968152	-0.34839156910158536	-0.1450588643668945
TCGA-AB-2941-03	acute myeloid leukemia	1.0462286113175978	-0.3795010783439866	-1.3187703479932529
TCGA-AB-2942-03	acute myeloid leukemia	0.0305547573894545	-0.005305002968844825	0.27993158742331464
TCGA-AB-2943-03	acute myeloid leukemia	1.2570271488090066	0.022696885685134977	0.43270257224971803
TCGA-AB-2944-03	acute myeloid leukemia	-0.1195397399580822	-0.2988531620657392	0.7853600382571843
TCGA-AB-2946-03	acute myeloid leukemia	0.5794642963918596	-0.19047443688868942	0.7008292378229601
TCGA-AB-2948-03	acute myeloid leukemia	0.5881595697152222	0.22968331061311129	0.7192968532460823
TCGA-AB-2949-03	acute myeloid leukemia	0.209385761583156	0.4480097304560912	0.6602359402125203
TCGA-AB-2950-03	acute myeloid leukemia	0.5852015569696118	-0.1041405362344814	0.7946163221191838
TCGA-AB-2952-03	acute myeloid leukemia	0.0548890492078743	0.12996024638838158	0.7367443344731114
TCGA-AB-2954-03	acute myeloid leukemia	-0.3600556799002885	-0.10465891774342237	0.5324711704765177
TCGA-AB-2955-03	acute myeloid leukemia	-0.5936359610813907	-0.3571324389062765	0.05689642944720291
TCGA-AB-2956-03	acute myeloid leukemia	0.7483724744953458	-0.030467569305053985	-0.7213517609071229
TCGA-AB-2959-03	acute myeloid leukemia	1.0994838830611653	0.0014622464779884329	0.9625037554865205
TCGA-AB-2963-03	acute myeloid leukemia	-0.5673331413386453	-0.7584494230825638	-0.6521033464156489
TCGA-AB-2964-03	acute myeloid leukemia	-0.7593291064875275	-0.8318160796060851	-1.1303524162086953
TCGA-AB-2965-03	acute myeloid leukemia	0.5011247259217216	-0.07540083763404311	0.07339086346455369
TCGA-AB-2966-03	acute myeloid leukemia	0.8311354608442769	0.03771014763878285	-0.18218252830826442
TCGA-AB-2967-03	acute myeloid leukemia	-0.3089263292929626	-0.2986085053571839	-0.2778808991709763
TCGA-AB-2969-03	acute myeloid leukemia	0.4752514075029586	0.43221650006335877	0.3486818868361096
TCGA-AB-2970-03	acute myeloid leukemia	0.9399798959380647	-0.39100460400113873	0.9296662006892434
TCGA-AB-2971-03	acute myeloid leukemia	1.0436101767404702	0.7564544453071469	0.29933303832346775
TCGA-AB-2972-03	acute myeloid leukemia	0.0505824311957884	-0.7424453821312921	-1.2259127264336405
TCGA-AB-2973-03	acute myeloid leukemia	1.3408357363116394	0.4892606461759716	0.4900952416077191
TCGA-AB-2975-03	acute myeloid leukemia	-1.149926112937973	-0.2016798407691705	0.18313169771066184
TCGA-AB-2976-03	acute myeloid leukemia	-0.8958761944689781	-1.2686207482578897	-0.5221092004544603
TCGA-AB-2977-03	acute myeloid leukemia	-1.4712286593890391	0.312291052693098	0.18236465355700995
TCGA-AB-2978-03	acute myeloid leukemia	0.7878012909651081	0.5935608044480452	0.570259710148321
TCGA-AB-2979-03	acute myeloid leukemia	-0.9259141541222284	0.38542939087879136	0.7404654357249574
TCGA-AB-2980-03	acute myeloid leukemia	-0.2459854420724248	-0.16870555148122576	-1.934038572722603
TCGA-AB-2981-03	acute myeloid leukemia	2.1074506444513554	1.7073556315092084	1.2190964675174507
TCGA-AB-2982-03	acute myeloid leukemia	0.2952036362152063	0.5416703150015746	-0.14774914680288495
TCGA-AB-2983-03	acute myeloid leukemia	0.1819320787653757	-0.04336078728600683	0.8985692326542668
TCGA-AB-2984-03	acute myeloid leukemia	-4.473471266786326	-1.2389125941430221	-2.027298737063053
TCGA-AB-2985-03	acute myeloid leukemia	1.837273030976892	1.0183984331270228	0.5015541113291081
TCGA-AB-2986-03	acute myeloid leukemia	-1.0662344994839803	-0.14870110395613262	-0.3373188159814007
TCGA-AB-2987-03	acute myeloid leukemia	3.224015332958859	1.221164982565244	0.8694680579817794
TCGA-AB-2988-03	acute myeloid leukemia	-0.9593306407627707	-0.34851917517009845	-0.164080683986988
TCGA-AB-2990-03	acute myeloid leukemia	-0.8960862727176674	-0.4442855391267444	-1.0374659343873012
TCGA-AB-2991-03	acute myeloid leukemia	0.2548942756505795	1.1380485454308473	-0.6889940029835309
TCGA-AB-2992-03	acute myeloid leukemia	1.2437560163926222	0.3960544452250778	-0.2338834121812752
TCGA-AB-2993-03	acute myeloid leukemia	-1.4469850070620591	-0.733343132579738	-1.5252408751150721
TCGA-AB-2994-03	acute myeloid leukemia	-0.8285031927650202	0.015448172643178291	-0.4850908554397639
TCGA-AB-2995-03	acute myeloid leukemia	1.1529840557944595	0.21361964442655945	0.3740195254823155
TCGA-AB-2996-03	acute myeloid leukemia	0.036118601564458	0.41810090046089204	0.694143774509632
TCGA-AB-2998-03	acute myeloid leukemia	-0.5268068596598403	-0.30314110892895985	-0.6013083619234858
TCGA-AB-2999-03	acute myeloid leukemia	-0.5500629526404839	-0.032328460381640826	-1.13696932430581
TCGA-AB-3000-03	acute myeloid leukemia	-0.4171699913687293	0.3767309385862091	0.882245710145996
